F16F9/096	制振器の上端または下端に，または制振器とは別に，または制振器の側面に備えられた薄膜型の水と空気の作用による緩衝器からなるもの｛（Ｆ１６Ｆ９／０８８が優先）｝
F16F9/10	液体のみを用いるもの；その性質に重要性のない流体を用いるもの
F16F9/103	｛室内を直線的に行ったり来たりする１つ以上の部材を有する装置で重要でない絞り効果を持つもの，すなわち粘性せん断効果のみにより減衰させるもの（Ｆ１６Ｆ９／５３が優先）｝
F16F9/106	｛圧搾管装置｝
F16F9/12	流体中で回転する１つ以上の回転翼をもつ装置で絞り効果が重要でないもの，｛すなわち粘性せん断効果のみにより減衰させるもの（｛Ｆ１６Ｆ９／５３が優先｝；スタンドまたは架台上に置かれた装置または物品のための旋回支持物Ｆ１６Ｍ１１／０６）｝
F16F9/125	｛調整手段によって特徴付けられるもの｝
F16F9/14	室の中で自由に動く１つ以上の部材，例．ピストン，翼，を持つ装置で絞り効果を用いるもの
F16F9/145	｛有効部分の回転運動のみ含むもの（回転形の流体ブレーキを有する翼閉鎖装置または開放装置Ｅ０５Ｆ３／１４）｝
F16F9/16	有効部分の直線運動のみを含んでいるもの｛（流体ピストンブレーキを有する翼閉鎖装置または開放装置Ｅ０５Ｆ３／０４）｝
F16F9/165	｛２個以上のシリンダが列をなしているもの，すなわち直列に連結されているもの（Ｆ１６Ｆ９／２６が優先）｝
F16F9/18	２つ以上の作用空間に分けられている密閉されたシリンダおよびピストンをもつもの
F16F9/182	｛中空ピストンロッドから構成されるもの｝
F16F9/185	｛複筒状装置（気体圧縮が明瞭なばね運動を引起すものＦ１６Ｆ９／０６２）｝
F16F9/187	｛弁を通して減衰流体の単一方向流れをもつもの｝
F16F9/19	１つのシリンダをもつもの｛および単一チューブ型式のもの｝
F16F9/20	シリンダの両端を通って伸びているピストン棒をもつもの，｛例．定量減衰装置｝
F16F9/22	ピストンまたはプランジャにより密閉された，ただ１つの作用空間をそれぞれ有する１つ以上のシリンダをもつもの
F16F9/26	直列に並んだ２つのシリンダと共に連結された２つのピストンまたはプランジャをもつもの
F16F9/28	並列に並んだ２つのシリンダと共に連結された２つのピストンまたはプランジャをもつもの
F16F9/285	｛ロッカーアームによるもの｝
F16F9/30	減衰作用を有する固体または半固体状物，例．糊状物，をもつもの｛（回転要素が粘性せん断効果のみによって減衰される装置であって絞り効果が重要でないものＦ１６Ｆ９／１２；回転装置と共に移動する部材が減衰されるものＦ１６Ｆ１５／１６）｝
F16F9/303	｛入れ子式の減衰装置｝
F16F9/306	｛拘束層式のもの，すなわち１つ以上の拘束粘弾性層からなるもの｝
F16F9/32	細部
F16F9/3207	｛構造的形態（Ｆ１６Ｆ９／３４からＦ１６Ｆ９／５０までが優先；組立て体または修理Ｆ１６Ｆ９／３２７１）｝
F16F9/3214	｛ピストンからなるもの（Ｆ１６Ｆ９／０２２７およびＦ１６Ｆ９／３６が優先；ピストン本体内または上の絞り通路Ｆ１６Ｆ９／３４０５）｝
F16F9/3221	｛ピストンロッドからなるもの｝
F16F9/3228	｛ピストンとピストンロッド間の接続からなるもの｝
F16F9/3235	｛シリンダーからなるもの（Ｆ１６Ｆ９／４８３が優先）｝
F16F9/3242	｛シリンダー端からなるもの，例．キャップ｝
F16F9/325	｛弁装置の取付部のためのもの｝
F16F9/3257	｛対をなすチューブ式装置｝
F16F9/3264	｛指示装置，例．流体水準；減衰装置を検査する装置（Ｆ１６Ｆ９／３２９２が優先；車両減衰のテストＧ０１Ｍ１７／０４）｝
F16F9/3271	｛組立て体または修理｝
F16F9/3278	｛潤滑用（潤滑そのものＦ１６Ｎ）｝
F16F9/3285	｛ろ過用（ろ過そのものＢ０１Ｄ）｝
F16F9/3292	｛センサー装置｝
F16F9/34	特殊な弁構造（｛Ｆ１６Ｆ９／４４，Ｆ１６Ｆ９／５０が優先；ろ過する細部Ｆ１６Ｆ９／３２８５｝；弁一般Ｆ１６Ｋ）；絞り口の形または構造
F16F9/3405	｛ピストン本体内または上への絞り通路，例．溝（Ｆ１６Ｆ９／３４４，Ｆ１６Ｆ９／３４８１が優先）｝
F16F9/341	｛騒音低減または同様の特徴からなるもの，例．遮蔽物（Ｆ１６Ｆ９／３４１５が優先）｝
F16F9/3415	｛合成樹脂，エラストマーまたは多孔質要素からなる事によって特徴付けられるもの｝
F16F9/342	計量ピンにより作用する絞り口｛（Ｆ１６Ｆ９／４８６が優先）｝
F16F9/344	渦巻流体通路
F16F9/346	シリンダ壁に配置されたスロットの形をした絞り口
F16F9/3465	｛長さ方向に沿って可変断面を有する溝｝
F16F9/348	互いに反対方向に作動する環状円盤形絞り口｛またはばね機能を持つか、持たない他の板状要素形絞り口｝｛または一方方向に作動する環状円盤形絞り口，例，弁またはピストン本体の頂部に位置する環状円盤（Ｆ１６Ｆ９／３４１，Ｆ１６Ｆ９／３４１５が優先）｝
F16F9/3481	｛ピストンの絞り通路の形状または構造によって特徴付けられるもの（Ｆ１６Ｆ９／３４４が優先）｝
F16F9/3482	｛弁またはピストン本体内に組み込まれた環状円盤（Ｆ１６Ｆ９／３４８４，Ｆ１６Ｆ９／３４８５が優先）｝
F16F9/3484	｛環状円盤そのものに特徴があるもの，単独または組合せ｝
F16F9/3485	｛環状円盤の動きを案内または制限しようとする支持要素に特徴付があるもの｝
F16F9/3487	｛スペーサーまたはスペース用環｝
F16F9/3488	｛弁のバイアスまたはプレストレスに影響を与えることを意図した点に特徴があるもの｝
F16F9/36	ピストン棒の密封装置，案内を含む特殊な密封装置（｛Ｆ１６Ｆ９／３２５，Ｆ１６Ｆ９／３４８５が優先；ピストン棒の密封装置または案内装置を経由して封入する装置Ｆ１６Ｆ９／４３２｝；一般的な作動部の密封Ｆ１６Ｊ１５／１６からＦ１６Ｊ１５／５６）
F16F9/361	｛蛇腹型の密封装置｝
F16F9/362	｛ピストンロッド用の密封および案内装置の組合せ（Ｆ１６Ｆ９／３６１，Ｆ１６Ｆ９／３６５が優先）｝
