C09B29/327	｛ＮＣＣＨ２ＣＯＮ−アリール，　ＮＣＯＣＨ２ＣＯＮ−アリール，　ＲＯＣ−ＣＨ２ＣＯＮ−アリールを含むもの｝
C09B29/33	アセト―またはベンゾイル―アセチルアリーライド
C09B29/331	｛酸基，例．　ＣＯＯＨ，　ＳＯ３Ｈ，　ＰＯ３Ｈ２，　ＯＳＯ３Ｈ，　ＯＰＯ２Ｈ２，を含むもの；　その塩｝
C09B29/332	｛炭素環式アリーライド｝
C09B29/334	｛複素環式アリーライド，例．　アセトアセチルアミノベンゾイミダゾロン｝
C09B29/335	｛酸基を持たないもの｝
C09B29/337	｛炭素環式アリーライド｝
C09B29/338	｛複素環式アリーライド，例．　アセトアセチルアミノベンゾイミダゾロン｝
C09B29/34	他のカップリング成分からのもの
C09B29/36	複素環化合物からのもの
C09B29/3604	｛異項原子として窒素のみを含むもの｝
C09B29/3608	｛異項原子として１個のみの窒素を持つ５員複素環を含むもの｝
C09B29/3613	｛インドールからのもの｝
C09B29/3617	｛異項原子として１個のみの窒素を持つ６員複素素環を含むもの｝
C09B29/3621	｛ビリジン環からのもの｝
C09B29/3626	｛１個以上のヒドロキシル基　（または＝　Ｏ）を含むピリジン環からのもの｝
C09B29/363	｛ジアゾ化された．アミノ炭素環からのもの｝
C09B29/3634	｛ジアゾ化された複素環からのもの｝
C09B29/3639	｛１個以上のアミノ基を含むピリジン環からのもの｝
C09B29/3643	｛キノリンまたは水素添加キノリンからのもの｝
C09B29/3647	｛異項原子として２個の窒素原子を持つ５員環を含むもの｝
C09B29/3652	｛１，２−ジアゾールまたは水素添加　１，２−ジアゾールを含むもの｝
C09B29/3656	｛アミノ−１，２−ジアゾールを含むもの｝
C09B29/366	｛ヒドロキシ−１，２−ジアゾール，例．　ピラゾロン｝
C09B29/3665	｛２個の窒素原子を持つ６員複素環を含むもの｝
C09B29/3669	｛ピリミジン環からのもの｝
C09B29/3673	｛バルビツール酸またはその誘導体｝
C09B29/3678	｛異項原子として酸素のみを含むもの｝
C09B29/3682	｛異項原子として硫黄のみを含むもの｝
C09B29/3686	｛異項原子として窒素と酸素を含むもの｝
C09B29/3691	｛異項原子として窒素と硫黄を含むもの｝
C09B29/3695	｛他の複素環式化合物を含むもの｝
C09B31/00	ジアゾ化およびカップリングによる，型Ａ→Ｂ→Ｃ，Ａ→Ｂ→Ｃ→Ｄまたは類似のもののジスアゾおよびポリアゾ染料
C09B31/02	ジスアゾ染料
C09B31/025	｛酸基，例．　−ＣＯＯＨ，　−ＳＯ３Ｈ，　−ＰＯ３Ｈ２，　−ＯＳＯ３Ｈ，　−ＯＰＯ２Ｈ２，を含むもの；その塩｝
C09B31/04	ダイレクティブアミノ基を含むカップリング成分Ｃからのもの
C09B31/041	｛酸基，例．　−ＣＯＯＨ，　−ＳＯ３Ｈ，　−ＰＯ３Ｈ２，　−ＯＳＯ３Ｈ，　−ＯＰＯ２Ｈ２，を含むもの；その塩｝
C09B31/043	アミノ−ベンゼン
