A43B13/06	皮革<br><br><u>警告</u><br><br>グループＡ４３Ｂ１３／０６はグループＡ４３Ｂ１３／０２からの文献の再分類が未完成であり保留されている。<br>グループＡ４３Ｂ１３／０２およびＡ４３Ｂ１３／０６はコンプリートサーチの完遂のために考慮されるべきである。
A43B13/08	木
A43B13/10	金属
A43B13/12	異質材を積層した底
A43B13/122	｛外底または外層に特徴のあるもの｝
A43B13/125	｛中底または中間層に特徴のあるもの｝
A43B13/127	｛中底が多層であるもの｝
A43B13/14	構造に特徴のあるもの
A43B13/141	｛底の一部が可撓性であるもの，例．折り曲げまたはねじりを可能にするもの｝
A43B13/143	｛くさび形，凹状または凸状の部分を備えるもの，例．足の抜けを改善するためのもの｝
A43B13/145	｛凸状の部分，例．隆起または突起を有するもの，例．マサイ型のくつ｝
A43B13/146	｛凹状の部分，例．空洞または切り欠き部，を有するもの｝
A43B13/148	｛くさび形端部｝
A43B13/16	接合された底（異質材を積層した底Ａ４３Ｂ１３／１２）
A43B13/18	弾性底｛（弾性手段を備えたスケートぐつＡ４３Ｂ５／１６５８）｝
A43B13/181	｛弾性が底の構造によって達成されるもの｝
A43B13/182	｛螺旋状ばね｝
A43B13/183	｛板ばね｝
A43B13/184	｛構造が外底から突出するもの｝
A43B13/185	｛連結された２つの構成要素の間に挟まれて弾性化された板のあるもの，例．押圧体｝
A43B13/186	｛緩衝性が領域により異なるもの，例．緩衝体が足の母指球の下に位置するもの（底に含まれない弾性かかとＡ４３Ｂ２１／２６；足のかかと用の弾性支持具Ａ４３Ｂ２１／３２）｝
A43B13/187	｛弾性が材料，例．発泡材，非液体材，の特性により達成されるもの｝
A43B13/188	｛緩衝性が領域により異なるもの｝
A43B13/189	｛非圧縮性流体，例．ゲル，水，が充填されたもの｝
A43B13/20	｛圧縮性流体，例．空気，ガス，が充填された｝空気底｛（スキーぐつ用の膨らませる裏張りＡ４３Ｂ５／０４０７）｝
A43B13/203	｛ポンプまたは弁を備えるもの｝
A43B13/206	｛チューブまたは管またはチューブ状の形状をした緩衝部材を備えるもの｝
A43B13/22	滑り止め底または耐摩耗の底，例．充てんによるものまたは耐摩耗層の塗着によるもの
A43B13/223	｛歯形の底｝
A43B13/226	｛歯形が足に面する表面に作られたもの｝
A43B13/24	そう入物を用いているもの
A43B13/26	底の表面より突出しているもの
A43B13/28	底の取付具に，また結合された底およびかかとの取付具に特徴のあるもの
A43B13/30	ねじによるもの
A43B13/32	接着剤によるもの
A43B13/34	かかとの内側にも取付けられる底
A43B13/36	簡単に取替えができる靴底（靴底保護具Ａ４３Ｃ１３／１２）
A43B13/37	底とかかと底とが結合されたもの
A43B13/38	備え付けの中底で製造工程中にアッパーに接合されるもの，例．構造的中底；製造工程中に靴に接着される中底
A43B13/383	｛接合されたもの｝
A43B13/386	｛多層構成のもの｝
A43B13/39	下面に縫い付けみぞを有するもの
A43B13/40	クッションを有するもの
A43B13/41	かかと補強体，つま先補強体またはシャンク補強体を組合わせたもの
A43B13/42	中底と外底の間の充てん材；補強材
A43B15/00	履物用細革
A43B17/00	甲被が接合された後で靴に取り付けるための，挿入する中敷き，例．フットベットまたはインレー
A43B17/003	｛材料に特徴があるもの（木製のものＡ４３Ｂ１７／１２，スポンジ，ゴムまたは合成樹脂材で作られたものＡ４３Ｂ１７／１４）｝
A43B17/006	｛多層のもの｝
A43B17/02	くさび状または弾性のもの
A43B17/023	｛くさび状のもの（Ａ４３Ｂ１７／０３が優先）｝
A43B17/026	｛非圧縮性流体，例．ゲル，水，を充填したもの｝
A43B17/03	気体，例．空気，が詰められたもの
A43B17/035	｛ポンプまたは弁を備えるもの｝
A43B17/04	金属そう入物またはおおいを有するもの
A43B17/06	金属スプリングを有するもの
A43B17/08	換気孔のあるもの
A43B17/10	あぶら足に特に適合したもの；防水のもの
A43B17/102	｛湿気吸収中敷；湿気消散中敷｝
A43B17/105	｛使い捨てのもの｝
A43B17/107	｛防水のもの｝
A43B17/12	木製のもの
A43B17/14	スポンジ，ゴムまたは合成樹脂材で作られたもの
A43B17/16	かかとまたはつま先キャップを有するもの
A43B17/18	履物に取り外し可能の中底を取付けるためのもの
A43B19/00	靴の形状をしたそう入物；足の甲をおおうそう入物
A43B19/005	｛靴用の重みのあるそう入物，すなわち，付加的なおもりのあるそう入物｝
A43B21/00	かかと；トップ・ピースまたはトップ・リフト
A43B21/02	材料により特徴づけられるもの
A43B21/025	｛金属｝
A43B21/03	木
A43B21/04	皮革
A43B21/06	ゴム
A43B21/08	硬質ゴムと軟質ゴムが組合されたもの
A43B21/18	ゴムと皮革を組合せたもの
A43B21/20	合成樹脂
A43B21/22	特にはねを飛ばさないように形成されたかかとまたはかかと装着物
A43B21/24	構成に特徴のあるもの
A43B21/26	弾性かかと
A43B21/265	｛非圧縮性流体，例．ゲル，水，を充填したもの｝
A43B21/28	｛圧縮性流体，例．空気，ガス，を充填した｝空気かかと
A43B21/285	｛ポンプまたは弁を備えるもの｝
A43B21/30	金属スプリングを有するかかと
A43B21/32	足のかかと用の弾性支持具
A43B21/36	取付具に特徴のあるもの；取付具を固着する装置（底とかかとの結合したものＡ４３Ｂ１３／２８）
A43B21/37	ホックまたはステイプルによるもの
A43B21/38	ねじのみによるもの
A43B21/39	リブ溝によるもの
A43B21/40	ありつぎによるもの
A43B21/42	代替えできるまたは調節できる部分｛例．底層｝を有するかかと
A43B21/433	回動できるように取付けられたもの
A43B21/437	前後方向に調節できるロッド状の化粧を有するもの
A43B21/44	かぎづめ状機構によるもの
