F21V33/004	｛衛生機器，例．鏡，シャワー，便座またはペーパホルダ｝
F21V33/0044	｛家庭用機器類，例．洗濯機または掃除機｝
F21V33/0048	｛事務用品，例．しおり，引出し付きデスクランプ，本または楽譜のスタンド｝
F21V33/0052	｛音響または映像機器，例．テレビ，電話，カメラまたはコンピュータ；その遠隔制御装置｝
F21V33/0056	｛音響機器，例．楽器，ラジオまたはスピーカ｝
F21V33/006	｛全般的な建物の建設または建物の仕上げ工事，例．屋根，樋，階段または床；ガーデン機器；日除けまたはパラソル｝
F21V33/0064	｛健康機器，救命機器または消火機器｝
F21V33/0068	｛医療機器｝
F21V33/0072	｛病院のベッド｝
F21V33/0076	｛保安または警備の信号機の設置，例．煙警報器または盗難警報器，地震検知器；自己防衛装置｝
F21V33/008	｛レジャー，趣味またはスポーツ用品，例．玩具，ゲームまたは救急箱；手工具；工具箱｝
F21V33/0084	｛手工具；工具箱｝
F21V33/0088	｛換気システム（空気処理システム用の吹出口と組み合わされた照明器具Ｆ２４Ｆ１３／０７８）｝
F21V33/0092	｛暖房装置または冷房装置を備えたもの｝
F21V33/0096	｛扇風機，例．天井扇風機（ファンの配置に特徴のある照明装置の強制冷却Ｆ２１Ｖ２９／６７）｝
F21V35/00	ろうそく立て
F21V35/003	｛ろうそくをろうそく立てに取付けるための特別な手段｝
F21V35/006	｛落下防止器具；かさのホルダ｝
F21V36/00	バーナ上のマントルまたはそれ以外の白熱体の配置
F21V36/02	天井灯におけるもの
F21V37/00	他に分類されない，光源として燃焼を用いる照明装置の細部
F21V37/0004	｛液体燃料を用いるもの｝
F21V37/0008	｛燃料容器｝
F21V37/0012	｛充填または液面の検査｝
F21V37/0016	｛容器の他のランプ部品への固定｝
F21V37/002	｛灯芯｝
F21V37/0025	｛野菜（Ｆ２１Ｖ３７／００３３が優先）｝
