F15B2211/3054	圧力補償弁が方向制御弁と出力部材との間に配置されたもの
F15B2211/30545	圧力補償弁が出力部材と方向制御弁との間に配置されたもの
F15B2211/3055	圧力補償弁が方向性制御弁と戻りラインとの間に配置されたもの
F15B2211/30555	圧力補償弁の入口または出口が方向制御弁と接続されたもの
F15B2211/3056	多数の弁の組立て
F15B2211/30565	１つの出力部材に対して複数の弁があるもの，例．より高い弁機能を実現するために５／３−弁を２／２−弁のような複数の弁により取り代えるもの
F15B2211/3057	２つの弁を有し，それぞれが複動出力部材の２つある出入口に用いられるもの
F15B2211/30575	ホイートストンブリッジ配置におけるもの（ハーフブリッジ配置も）
F15B2211/3058	複動アクチュエータの流体チェンバを相互接続するための追加弁を有するもの，例．再生モードまたは流動モードのためのもの（方向制御弁が再生位置を有するものＦ１５Ｂ２２１１／３１３３；方向制御弁が流動位置を有するものＦ１５Ｂ２２１１／３１２７）
F15B2211/30585	多数の出力部材のために単一の弁を有するもの
F15B2211/3059	多数の出力部材のために多数の弁を有するもの
F15B2211/30595	多数の出力部材のために弁の群の間に追加的な弁をもつもの
F15B2211/31	弁要素の位置に特徴のあるもの
F15B2211/3105	中立または中心の位置
F15B2211/3111	ポンプの出入口が中心位置で閉じているもの，例．いわゆるクローズドセンター
F15B2211/3116	ポンプの出入口が中心位置で開いているもの，例．いわゆるオープンドセンター
F15B2211/3122	稼動する出入口と接続しているポンプの出入口または戻りラインと接続された稼働する出入口以外の特別な位置
F15B2211/3127	稼動する出入口および戻りラインを接続する浮遊する位置
F15B2211/3133	稼動する出入口を接続するまたは稼動する出入口をポンプに接即する再生位置，例．高速接近行程
F15B2211/3138	位置が不連続であるもの
F15B2211/3144	位置が連続的に変化するもの，例．比例弁により実現されるもの
F15B2211/315	回路内の弁の接続に特徴のあるもの
F15B2211/31505	圧力源および戻りラインに接続されたもの
