B65H19/2253	｛加えて，ロールが巻取り作業中に移動するもの｝
B65H19/2261	｛ポープローラー｝
B65H19/2269	｛クレードル｝
B65H19/2276	｛ウェブロールを無芯型巻取り機構によって駆動するもの｝
B65H19/2284	｛複数の位置における同時巻取り，例．スピリッタリワインダ｝
B65H19/2292	｛ロールからの巻芯の取り外し｝
B65H19/24	ウェブロール交換中における，排送された余剰ウェブの集積
B65H19/26	巻取られたウエブロールへ移行しているウエブの切断
B65H19/262	｛新しいロールに巻かれた薄板状または線条材料を用いるもの｝
B65H19/265	｛ウェブ表面に平行な面においてウェブを横切る方向に直線状に移動する切断部材を用いるもの｝
B65H19/267	｛引き裂きまたは破裂によるもの｝
B65H19/28	交換ウェブのロール巻芯または巻軸へのウェブ始端係止（材料端を固定する装置を有する巻芯，巻枠，支持体，または保持体，例．リールＢ６５Ｈ７５／２８）
B65H19/283	｛巻芯に接着剤を塗布することによるもの｝
B65H19/286	｛ウェブに接着剤を塗布することによるもの｝
B65H19/29	ウェブロールへの巻取られたウェブ終端の固定（材料端を固定する装置を有する巻芯，巻枠，支持体または保持体，例．リールＢ６５Ｈ７５／２８）
B65H19/30	ウエブロールの昇降，移送，または取外し；巻芯の挿入
B65H19/305	｛巻芯の挿入｝
B65H20/00	ウエブの送給
B65H20/005	｛そのための電気駆動型モータ制御装置｝
B65H20/02	摩擦ローラによるもの
B65H20/04	ウエブを間欠送給するもの
B65H20/06	摩擦バンドによるもの
B65H20/08	ウエブを間欠送給するもの
B65H20/10	ウエブが流体圧，例．吸引力または空気圧により保持される送りバンドによるもの
B65H20/12	吸引ローラによるもの
B65H20/14	移動流体がウエブに直接作用するもの
B65H20/16	ウエブ把持装置，例．グリッパー，クリップによるもの
B65H20/18	ウエブを間欠送給するもの
B65H20/20	ウエブ突刺し装置，例．ピン，によるもの
B65H20/22	ウエブを間欠送給するもの
B65H20/24	ループ形成または類似装置によるもの
B65H20/26	ウエブロールの内側へ，またはその内側からウエブを送給する機構
B65H20/28	折り重ねた状態にウエブを排送し，折り重ね集積物下端から再供給する機構
B65H20/30	余剰ウェブを集積する装置（ウェブロール交換中に行うものＢ６５Ｈ１９／１４，Ｂ６５Ｈ１９／２４）
B65H20/32	ループの形成によるもの
B65H20/34	ローラを有するもの
B65H20/36	一長手方向または逆長手方向にウエブを随意に送給する装置を有するもの
B65H20/38	ウエブロールのスピンドルを駆動する機構の方向を変化させることによるもの
B65H20/40	ピンチローラを駆動する機構の方向を変化させることによるもの
B65H21/00	ウェブを重ね継ぐ装置（ウェブロールの交換中に行うものＢ６５Ｈ１９／００）
B65H21/02	予め印しされたウエブのためのもの，例．予め印刷されたもの
B65H23/00	ウエブの整合，緊張，平滑または案内（物品の整合Ｂ６５Ｈ９／００；重ね継ぎに関連するものＢ６５Ｈ２１／００）
B65H23/005	｛ウェブロール径の感知（所定の半径に応答する警告または安全装置Ｂ６５Ｈ２６／０８）｝
B65H23/02	横方向のもの（繊維ウエブに作用する幅出機，狭持具，または同様の装置Ｄ０６Ｃ）
B65H23/0204	｛ウェブの横方向の整合を感知するもの（加えて，それを制御するものＢ６５Ｈ２３／０３２）｝
B65H23/0208	｛ウェブ端部に係合する素子をもつもの｝
B65H23/0212	｛流体流を利用する素子をもつもの｝
B65H23/0216	｛光電効果を利用する素子をもつもの｝
B65H23/022	幅出し装置によるもの
B65H23/025	ローラによるもの
B65H23/0251	｛軸がまっすぐなもの｝
B65H23/0253	｛軸方向に可動な素子をもつもの｝
B65H23/0255	｛軸方向に伸縮自在な素子をもつもの｝
B65H23/0256	｛対向するらせん状の巻線をもつもの｝
B65H23/0258	｛軸が湾曲しているもの｝
B65H23/028	クリップによるもの
B65H23/032	ウエブの横方向整合制御
B65H23/0322	｛ウエブの端縁部分上で作用することによるもの｝
B65H23/0324	｛ウエブの横方向部分上で作用することによるもの｝
B65H23/0326	｛巻戻し装置を移動することによるもの｝
B65H23/0328	｛巻取り装置を移動することによるもの｝
B65H23/035	ガイドバーによるもの
B65H23/038	ローラによるもの
B65H23/04	長手方向のもの
B65H23/042	｛ウェブループ長を感知するもの（ウェブの張力を感知するもの２３／０４Ｂ）｝
B65H23/044	｛ウェブの張力を感知するもの（Ｂ６５Ｈ２３／０６，Ｂ６５Ｈ２３／１８が優先）｝
B65H23/046	｛ウェブの長手方向の整合を感知するもの（Ｂ６５Ｈ２３／１８が優先）｝
B65H23/048	｛強制作動した可動棒またはローラによるもの｝
B65H23/06	遅延装置によるもの，例．ウエブロール軸に作用するもの
B65H23/063	｛加えて，ウェブの張力を制御するもの｝
B65H23/066	｛そのための電気ブレーキ装置（Ｂ６５Ｈ２３／０６３が優先）｝
B65H23/08	巻戻されているウエブロールに作用するもの
B65H23/085	｛加えて，ウェブの張力を制御するもの｝
B65H23/10	走行中のウェブに作用するもの（吸着リターダＢ６５Ｈ２３／２４）
B65H23/105	｛加えて，ウェブの張力を制御するもの｝
B65H23/12	そしてウエブの部分を相反する方向に移動させて摩擦係合させるもの
B65H23/14	制動力を加える緊張ローラ
B65H23/16	重錘またはばねで押圧され移動し得る棒またはローラによるもの
B65H23/18	ウエブ送給機構の制御または調整によるもの，例．移行しているウエブに作用する機構
B65H23/1806	｛リール・トゥ・リールタイプのウェブ巻取り巻戻し機構におけるもの，例．ウェブロールのスピンドルに作用する機構｝
B65H23/1813	｛ウェブロールに作用するもの｝
B65H23/182	巻戻し機構におけるもの，または巻戻し操作に関係するもの
B65H23/1825	｛加えて，ウェブの張力を制御するもの｝
B65H23/185	モータにより制御されるもの
B65H23/188	走行ウエブに関係するもの
B65H23/1882	｛加えて，ウェブの長手方向の整合を制御するもの｝
B65H23/1884	｛間歇送給を行うもの｝
B65H23/1886	｛２つ以上のウェブを連動させるもの｝
B65H23/1888	｛加えて，ウェブの張力を制御するもの｝
B65H23/192	モータにより制御されるもの
B65H23/195	巻取り機構におけるもの，または巻取り操作に関係するもの
B65H23/1955	｛加えて，ウェブの張力を制御するもの｝
B65H23/198	モータにより制御されるもの　｛そのための電動モータの制御）｝
B65H23/24	流体作用によるもの，例．走行ウエブを遅らせるもの
B65H23/245	｛吸着リターダ｝
B65H23/26	横方向固定のまたは調節可能の棒またはローラによるもの
