B	処理操作；運輸
B06	機械的振動の発生または伝達一般
B06B	亜音波，音波，または超音波級の機械的振動を発生または伝達する方法または装置，｛例．｝機械的作業を行うためのもの（特定の応用のためのものは，関連サブクラス参照，例．Ｂ０７Ｂ１／４０，Ｂ２３Ｑ１７／１２，Ｂ２４Ｂ３１／０６；機械的振動の測定Ｇ０１Ｈ；方向決め，位置決め，距離または速度測定におけるものＧ０１Ｓ；｛地震エネルギーの発生Ｇ０１Ｖ１／０２｝；機械的振動の制御一般Ｇ０５Ｄ；音波発生装置，例．ベル，サイレン，笛Ｇ１０Ｋ，｛例．音を伝達し，導きまたは指向させるための方法または装置一般Ｇ１０Ｋ１１／００｝；電気的振動の発生H０３B；電気機械的共振器一般Ｈ０３Ｈ；｛通信技術用の｝電気機械変換器，｛例．マイクロホン，スピーカ｝Ｈ０４Ｒ）<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B07	固体相互の分離；仕分け
B07B	ふるいによるか，または気体流を用いる固体相互の分離；ばらの材料，例．ばらの材料と同様に扱われる物品，に適応する乾式によるその他の分離（乾式分離装置と湿式分離装置との組合せＢ０３Ｂ；手による選別，郵便に関する選別，切り換え，または物品もしくは材料のサンプルのある特徴を検知または測定することにより作動するその他の装置による選別Ｂ０７Ｃ）<br><br><u>注</u><br><br>このサブクラスにおいて，装置の構造および材料の性質から自動的に起因するばらの材料またはばらの材料と同様に扱われる物品のふるい分けまたは等級付け，例．最低重量の目的物の下で開くトラップによるもの，累進的な大きさの開孔によるもの。同じ条件が適用される限りの物品のふるい分け，例．連続的に長くなる開孔の上を通過させて材木をふるい分けするもの；その物品はふるい分けの目的のために方向付けをされていてもいなくてもよい。<br><br><u>警告</u><br><br>１．以下のＩＰＣグループはＣＰＣ分類表にはない。これらのＩＰＣグループに分類される主題事項は，以下の各ＣＰＣグループに分類される：<br>Ｂ０７Ｂ１／３２ は Ｂ０７Ｂ１／３０ に包含される<br>２．このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B07C	郵便に関する選別；順次に仕分けする，例．取り出すことによって，に適した個別の物品またはばらの材料の仕分け（他のクラスに包含される特殊目的に特に適するものは，関連した箇所を参照，例．Ａ４３Ｄ３３／０６，Ｂ２３Ｑ７／１２）<br><br><u>注</u><br><br>このサブクラスは，材料または物品のある特徴の検査または検知もしくは測定の結果として，手または，手動的または自動的に動かされる装置による材料または物品の選別を包含する。<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B08	清掃
B08B	清掃一般；汚れ防止一般（ブラシ類Ａ４６，家庭用または類似の清掃手段Ａ４７Ｌ；｛ゴルフクラブまたはゴルフ用品の清掃Ａ６３Ｂ５７／６０；ラケット上のバットのグリップの清掃Ａ６３Ｂ６０／３６｝；液体または気体からの粒子の分離Ｂ０１Ｄ；固体の分離Ｂ０３，Ｂ０７；噴霧または液体もしくは他の流動性材料の表面への適用一般Ｂ０５；コンベヤ用清掃装置Ｂ６５Ｇ４５／１０；びんの洗浄，充てんと密閉の工程を共に備えたものＢ６７Ｃ７／００；防食または鉱皮の抑制一般Ｃ２３；街路，軌道，海岸または地面の清掃Ｅ０１Ｈ；清掃に特に適合した水泳または水遊び用水槽またはプールの部品，細部または付属品Ｅ０４Ｈ４／１６；静電荷の防止または除去Ｈ０５Ｆ）<br><br><u>注</u><br><br>このサブクラスは，通常以下に示す観点の１つ（またはそれ以上）に分類され，かつ以下の観点に対して用意されているサブクラスに十分に分類されない清掃に関する発明のみを包含する：<br>−清掃される物品，例．寝たきりの人のための差込み便器，小便器又は他の衛生装置Ａ６１Ｇ９／０２，フィルタ，半透膜Ｂ０１Ｄ，鋳物と鋳型Ｂ２２Ｄ２９／００，車両Ｂ６０Ｓ，コークス炉Ｃ１０Ｂ４３／００，建築用型枠Ｅ０４Ｇ，ボイラーＦ２２，燃焼装置Ｆ２３，炉Ｆ２７；清掃の性質，例．砂糖生産のための準備Ａ２３Ｎ，家庭の清掃Ａ４７Ｌ，繊維の処理Ｄ０６，洗たくＤ０６Ｆ，空気調和Ｆ２４Ｆ；<br>−行われる特殊な作業，例．ろ過Ｂ０１Ｄ，固体の分離Ｂ０３，Ｂ０７，砂吹き付けＢ２４Ｃ；<br>−特殊な装置，例．ブラシＡ４６Ｂ，モップＡ４７Ｌ，遠心分離機Ｂ０４，手工具Ｂ２５，使用後の塗料適用手工具の清掃Ｂ４４Ｄ３／００６；<br>−清掃される物質，例．金属Ｂ２１Ｃ，Ｃ２３，水Ｃ０２，ガラスＣ０３Ｂ，革Ｃ１４Ｂ，繊維Ｄ０１；<br>−除去される物質（または付着，形成を防止する），例．塗料の除去Ｂ４４Ｄ３／００，例．表面から乾燥した塗料を取除くための器具または装置Ｂ４４Ｄ３／１６；<br>−化学的塗膜除去材Ｃ０９Ｄ９／００；<br>−さび止めＣ２３Ｆ；<br>−使用された物質，例．高分子化合物または組成物Ｃ０８，凍結防止物質Ｃ０９Ｋ，洗浄剤Ｃ１１Ｄ；<br>−清掃がなされるのに関連した作業，例．金属の圧延Ｂ２１Ｂ，金属の中ぐりＢ２３Ｂ，ハンダ付Ｂ２３Ｋ，織物の製作Ｄ０１Ｇ，Ｄ０１Ｈ，Ｄ０３Ｊ，Ｄ０４Ｂ；<br>−美しさを維持するまたは清掃する物の表の周囲，例．ボイラー内の水Ｃ０２Ｆ，室内の空気Ｆ２４Ｆ<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B09	固体廃棄物の処理；汚染土壌の再生
B09B	固体廃棄物の処理<br><br><u>注</u><br><br>１．このサブクラスでは，他の単一のサブクラスでは充分に分類しきれない，単一または連結操作，たとえば多段操作，のみを包含する。<br>２．このサブクラスにおいては，下記の用語または表現は以下に示す意味で用いる。<br>―「処理」とは，投棄のように捨てること，または廃棄物の破壊，あるいは廃棄物を有用物に変えるか無害にすることを意味する；<br>―「固体廃棄物」には，たとえ液体を含んでいても実際には固体として処理できるような廃棄物も含まれる。<br>３．下記の箇所に注意すること<br>Ａ２３Ｊ１／１６　澱粉製造工場の廃水，または同様の廃棄物から蛋白質の採取<br>Ａ２３Ｋ１０／３８　蒸溜または醸造廃棄物から採取する動物飼料<br>Ａ２３Ｋ１０／２８　乳業廃棄物から採取する動物飼料<br>Ａ２３Ｋ１０／２０　台所から採取する動物飼料<br>Ａ４３Ｂ１／１２　屑ゴムで作った履物<br>Ａ６１Ｌ１１／００　廃物に特に適用される消毒または殺菌法<br>Ａ６２Ｄ３／００　有害な化学剤に対抗する化学的手段；有害な化学剤を無害にする方法<br>Ｂ０１Ｄ５３／３４　煙または煙霧，例．煙道ガス，の化学的浄化<br>Ｂ０２Ｃ１８／００８４　材料を砕片に切り刻むナイフまたはそれ以外の切断・裂断部品による粉砕；ゴミ，廃棄物または下水の分解に特に適合したもの<br>Ｂ０３Ｂ７／００　湿式の工程または装置とそれ以外の工程もしくは装置との組合せ，例．鉱石または廃物の選別用のもの<br>Ｂ０３Ｂ９／０６　分離プラントの全体的な配列，たとえば系統図，であって，とくに廃物に適応するもの<br>Ｂ０５Ｂ１２／１６，Ｂ０５Ｂ１２／３２　噴霧域調節，例．マスキング，側面遮蔽；余剰材料の収集または再利用手段<br>Ｂ０８Ｂ１５／００　 じんあいまたは臭気の発生地区における漏れ防止；その地区におけるじんあいまたは臭気の収集または除去<br>Ｂ２３Ｄ２５／１４　せん断装置のうち素材が切断方向以外の方向に送られるもので，切断された材料の正確な寸法にこだわらないもの，例．鉄屑の寸断用<br>Ｂ２７Ｂ３３／２０《要部分を崩壊させる手段と組み合わせた縁切り用鋸歯または工具<br>Ｂ２９Ｂ１７／００　プラスチック含有廃棄物からのプラスチックまたはその他の成分の回収<br>Ｂ３０Ｂ９／３２　スクラップ金属の押し固め，または中古車の圧縮用のプレス<br>Ｂ６３Ｂ１７／０６　廃棄物の排出，例．灰<br>Ｂ６３Ｊ４／００６　船舶用の下水または汚水処理設備<br>Ｂ６５Ｆ１／００　ゴミ容器<br>Ｂ６５Ｆ３／００　特にゴミを収集するのに適した車両<br>Ｂ６５Ｆ５／００　容器もしくは車両以外の方法によるゴミの収集または移送<br>Ｂ６５Ｆ７／００　ゴミ容器またはゴミ収集車と一体になった清掃あるいは消毒装置<br>Ｃ０３Ｃ１／００　ガラス，うわ薬，またはガラス質ほうろうの製造に一般的に適用される原料<br>Ｃ０４Ｂ７／２４　油母頁岩，残留物，またはスラグ以外の廃棄物から製造された水硬性セメント<br>Ｃ０４Ｂ１１／２６　リン酸石こうから，または煙の浄化生成物のような廃棄物から作る硫酸カルシウムセメント<br>Ｃ０４Ｂ１８／０４　モルタル，コンクリート，人造石または類似のもののための充填剤として使われる廃棄物あるいは屑<br>Ｃ０４Ｂ２２／０００６　モルタル，コンクリート，人造石または類似のもののための活性成分としての使用される廃棄無機材料<br>Ｃ０４Ｂ２４／００１　モルタル，コンクリート，人造石または類似のもののための活性成分としての使用される廃棄有機材料<br>Ｃ０５Ｆ９／００　家庭または都市のじんかいから造られた肥料<br>Ｃ０８Ｊ１１／００　廃物の回収または処理<br>Ｃ０８Ｌ１７／００　再生ゴムの組成物<br>Ｃ１０Ｂ５３／００　特殊な固体原料または特殊な形態の固体原料に特に適用される乾留<br>Ｃ１０Ｂ５７／００　上記に含まれないその他の方法；一般的な乾留方法の特徴<br>Ｃ１０Ｇ１／１０　ゴムまたはゴム廃物からの製造<br>Ｃ１０Ｌ５／４６　下水，家庭または町のくずに基づくもの<br>Ｃ１０Ｌ５／４８　工業残渣または廃物に基づくもの<br>Ｃ１０Ｍ１７５／０２　鉱油系使用済み潤滑剤を有用物にする再生<br>Ｃ１１Ｂ１３／００　廃棄物質からの脂肪，脂肪油または脂肪酸の再生<br>Ｃ１１Ｄ１９／００　けん化液からのグリセリンの回収<br>Ｃ１２Ｆ３／００○産物の採取<br>Ｃ１２Ｆ３／０８　圧搾残留物または他の廃物質からのアルコール採取<br>Ｃ１２Ｐ７／０８○産物としてまたは廃棄物またはセルロース物質の基質からの製造<br>Ｃ２２Ｂ７／００　鉱石以外の他の原材料，例．スクラップ，からの非鉄金属またはその化合物抽出のための処理<br>Ｃ２２Ｂ１９／２８　マッフル炉残渣からの採取<br>Ｃ２２Ｂ１９／３０　金属質残渣またはスクラップからの採取<br>Ｃ２２Ｂ２５／０６　スクラップ，特にすずスクラップからの採取<br>Ｄ０１Ｂ繊維またはフィラメントを採取するための天然の繊維状またはフィラメント状材料の機械的処理，例．紡績用<br>Ｄ０１Ｃ５／００　動物繊維再生のためのボロ毛くずの炭化<br>Ｄ０１Ｆ１３／００　人造フィラメントまたは類似物の製造における出発物質，廃物または溶媒の回収<br>Ｄ０１Ｇ１１／００　再使用繊維を得るための繊維含有物の分解<br>Ｄ０１Ｈ１１／００　じんあいまたは風綿等の発生防止または除去装置<br>Ｄ０６Ｌ１／１０　繊維，より糸，糸，織物，羽毛または繊維製品のドライクリーニングまたは洗浄のために使用したケミカル浴の再生によるもの<br>Ｄ２１Ｂ１／０８　乾式法による故紙を原料としたもの<br>Ｄ２１Ｂ１／３２　故紙の離解<br>Ｄ２１Ｃ５／０２　故紙からのパルプの再生<br>Ｄ２１Ｃ１１／１４　湿式燃焼によるパルプ化薬液の再生<br>Ｄ２１Ｆ１／６６　製紙のための連続紙抄紙機の湿部内の白水の再使用<br>Ｄ２１Ｈ１７／０１　パルプに添加又は紙含浸材料に使われる廃棄物<br>Ｅ０３Ｆ　下水；汚水だめ<br>Ｅ０４Ｆ１７／１０　廃物処理のための建築物における装置<br>Ｆ２３Ｂ５／００　１次燃焼での未燃焼物を燃焼させるための装置を有する燃焼装置<br>Ｆ２３Ｇ　燃焼による廃棄物の焼却<br>Ｆ２３Ｊ　燃焼生成物や燃焼残滓の除去，または処理<br>Ｇ０３Ｃ１１／２４《要の写真材料からの乳剤の除去<br>Ｈ０１Ｂ１５／００　電線の材料を廃物利用するための装置または方法<br>Ｈ０１Ｍ６／５２　老朽化した電池またはバッテリーの有用な部品の再生<br>Ｈ０１Ｍ１０／５４　老朽化した蓄電池の有用な部品の再生<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B09C	汚染土壌の再生（土壌から石などを取り除いて集める機械Ａ０１Ｂ４３／００；蒸気土壌殺菌Ａ０１Ｇ１１／００；廃物などの好ましくないものの地面からの除去Ｅ０１Ｈ１５／００）<br><br><u>注</u><br><br>このサブクラスにおいては，下記の用語は以下に示す意味で用いる：<br>−再生とは，土壌中の汚染物質の部分的あるいは全面的除去，もしくは固定を意味する。<br><br><u>警告</u><br><br>　以下のＩＰＣグループはＣＰＣ分類表にはない。これらのグループに分類される主題事項は，以下の各ＣＰＣグループに分類する：<br>　Ｂ０９Ｃ１／０４ は Ｂ０９Ｃ１／０２ に包含される
B21	本質的には材料の除去が行なわれない機械的金属加工；金属の打抜き<br>（１）このクラスは，以下のものを包含しない:<br>―クラスＢ２１の異ったサブクラスによって包含される作業の組合せ，これはサブクラスＢ２３Ｐに包含される；<br>―クラスＢ２１のどれか特定のサブクラスによって包含される作業と，他のクラスによって包含される作業，例．材料の除去を伴う作業，の組合せ，これもサブクラスＢ２３Ｐに包含される。ただし，もし他のクラスによって包含される作業がＢ２１の単一のサブクラスに適正に包含される作業に対し補助的である場合は，その組合せはＢ２１のサブクラスに分類される。<br>（２）このクラスに包含されるが非金属材料に適用されている工程は，もしその工程が金属に適用でき，他のクラスに完全に分類できなければ，このクラスに分類される。
B21B	金属の圧延（Ｂ２１に包含される金属加工作業に関連して使用される補助的作業はＢ２１Ｃ参照；圧延による曲げＢ２１Ｄ；圧延による特定の対象物，例．スクリュー，車輪，リング，バレル，ボール，の製造Ｂ２１Ｈ；圧延機手段による圧接Ｂ２３Ｋ２０／０４）<br><br><u>注</u><br><br>このサブクラスでは下記の用語または表現は以下の意味を示すものとして用いられる:ー圧延とは塑性変形の発生する圧延作業を意味する；−連続工程は素材が一対のロールから送出される以前に次の一対のロールに送込まれる様に設定された圧延機列を使用する工程を意味する．
B21C	　圧延以外の方法による金属板，線，棒，管，または型材の製造；実質的に材料を除去しない金属加工と関連して用いる補助作業<br><br><u>｛警告</u><br><br>１．このサブクラスは旧分類表（ＩｄＴ）７Ｂの有効期限の満了に伴い１９７３年３月１日に導入された。２．特許文献は，有効期限が満了したＩｄＴ分類表からＩＰＣ分類表へ現在も継続的に再分類されている。３．ＩＰＣからＩｄＴグループへの一般的なコンコーダンスは以下のとおりである:Ｂ２１Ｃ３７／１６:７Ｂ１５｝
B21D	本質的には材料の除去が行われない金属板，金属管，金属棒または金属プロフィルの加工または処理；金属の牡き（線材の加工または処理Ｂ２１Ｆ）<br><br><u>注</u><br><br>１．このサブクラスは，金属板または他の棒状材料の切断または打抜きを包含する。<br>２．このサブクラスは，紙の加工と類似の金属箔の加工は包含しない。ただしこれはクラスＢ２６，Ｂ３１に包含される。<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B21F	線材の加工および処理（｛直径を減少させるもの｝金属の圧延によるものＢ２１Ｂ；引抜きによるもの，材料を実質的に除去しない金属加工に関連して行う補助操作Ｂ２１Ｃ）　
B21G	針，ピンまたは釘の製造　
B21H	　転造，ロール加工または圧延による特定の金属対象物の製造，例．スクリュー，車輪，リング，バレル，ボール（実質的に板材からつくるものＢ２１Ｄ）<br><br><u>注</u><br><br>このサブクラスは，特定対象物の製造に特に使用され，同じ機械で遂行される補助作業でないどれか別の金属加工作業とは本質的に組合わされていない圧延作業を包含する。
B21J	鍛造；ハンマーリング；プレス；リベット締め；鍛造炉（金属の圧延Ｂ２１Ｂ；鍛造またはプレスによる特定の製品の製造Ｂ２１Ｋ；クラッド法または被せ金法Ｂ２３Ｋ；ハンマリングによる表面処理または表面仕上げＢ２３Ｐ９／０４；粉体材料の吹き付けによる表面の引き締めＢ２４Ｃ１／１０；プレスの一般的特徴，スクラップの押し固めのためのプレスＢ３０Ｂ；炉一般Ｆ２７）<br><br><u>｛注</u><br><br>[Ｎ０００６｝このサブクラスにおいては，＋ＩＤＴという表現は以下の内容を意味する:‐ここに分類される文献はインデキシングコードＬ２１Ｊ７００／００からＬ２１Ｊ７１０／２８で表わされる範囲のＩＤＴグループに分類されていた。　−これらは管理上の目的で上述のＩＤＴグループからこのサブクラスに再分類された。｝
B21K	鍛造品またはプレス製品の製造，例．馬蹄，リベット，ボルト，車輪（実質的には材料の除去が行われない金属薄板の加工による特殊物品の製造Ｂ２１Ｄ；線材の処理Ｂ２１Ｆ；ピン，針，釘の製造Ｂ２１Ｇ；圧延による特殊物品の製造Ｂ２１Ｈ；鍛造機械，プレス機械，ハンマリング機械一般Ｂ２１Ｊ；チェーンの製造Ｂ２１Ｌ；メッキＢ２３Ｐ３／００）<br><br><u>注</u><br><br>　このサブクラスにおいて，＋ＩＤＴという表現は以下を示す為に用いられている:‐ここに分類される文献はインデキシングコードＬ２１Ｋ７００／００からＬ２１Ｋ７００／２６Ｑで表わされる範囲のＩＤＴグループに分類されていた。‐これらは管理上の目的で上述のＩＤＴグループからこのサブクラスに再分類された。｝<br><br><u>注</u><br><br>このサブクラスは特殊物品を製造するに際して使用するために特に適した鍛造工程，プレス工程，またはハンマリング工程のみを含む。そしてそれらの工程は，発明に関する限り，後の工程が同じ機械で行なわれる補助工程でない場合はどのような他の金属加工工程とも組み合わされない。
