G03B27/58	台盤，マスク枠，または他の感光材料用支持器（Ｇ０３Ｂ２７／５３が優先；｛電子写真的コピー機用Ｇ０３Ｇ１５／６５｝）
G03B27/581	｛コピー用カメラ内（Ｇ０３Ｂ２７／６０が優先）｝
G03B27/582	｛台盤，支え台｝
G03B27/583	｛マイクロフィッシュの取り扱い｝
G03B27/585	｛切断された感光性シートの取り扱い｝
G03B27/586	｛供給用の積み重ね，剥離｝
G03B27/587	｛感光性ウエブの取り扱い（Ｇ０３Ｂ１／００が優先）｝
G03B27/588	｛供給用のロール，切断機｝
G03B27/60	真空または流体圧力を用いるもの
G03B27/62	原版用支持器（Ｇ０３Ｂ２７／５３が優先；｛電子写真的コピー機用Ｇ０３Ｇ１５／６０｝）
G03B27/6207	｛コピー用カメラ内｝
G03B27/6214	｛コピー盤｝
G03B27/6221	｛透明な圧盤｝
G03B27/6228	｛圧盤カバー｝
G03B27/6235	｛往復動をするコピー圧盤｝
G03B27/6242	｛マスク，被層，透明なキャリヤー｝
G03B27/625	｛原版の取り扱いに関する装置，例．存在検出器，逆変換器｝
G03B27/6257	｛原版を一度または繰り返して露光ステーションに向けて動かしまたは通過させるための装置｝
G03B27/6264	｛個々の原版を次々に露光ステーションに向けて動かしまたは通過させるための装置｝
G03B27/6271	｛引伸機内｝
G03B27/6278	｛一駒ネガの取り扱い｝
G03B27/6285	｛フィルム片の取り扱い（Ｇ０３Ｂ１／００が優先）｝
G03B27/6292	｛マイクロフィッシュの取り扱い｝
G03B27/64	真空または流体圧力を用いるもの
G03B27/66	特に中間調スクリーンを保持するためのもの
G03B27/68	歪みを与え，または修正するもの，例．傾斜投映に関連するもの
G03B27/70	焼付光路中にある反射鏡
G03B27/72	写真的焼付装置における光の強度，スペクトルの組成，または露出時間の制御または変更
G03B27/722	｛再生スケールが変化された時のもの｝
G03B27/725	｛コントラストが電気的に制御される光学投影装置（例．陰極線管マスキング）｝
G03B27/727	｛コントラストが光学的に制御される光学投影装置（例．均一な露光，可変コントラスト感光材料上の二色露光）｝
G03B27/73	スペクトル組成の変更による露出の制御，例．多色プリンタ
G03B27/735	｛原版の自動分析に依存するもの｝
G03B27/74	装置内における露出計の位置づけ
G03B27/80	原版の自動分析に依存するもの（Ｇ０３Ｂ２７／７３が優先）
