A63H33/3044	｛積荷ステイション，例．コンベア，エレベータ，クレーン（クレーン，ウインチまたは類似のもの，本来Ａ６３Ｈ１７／１２）｝
A63H33/305	｛真空掃除機｝
A63H33/3055	｛オーブン，または他のクッキング手段｝
A63H33/3061	｛洗濯機｝
A63H33/3066	｛腕時計または時計｝
A63H33/3072	｛道具または工作機｝
A63H33/3077	｛タイプライタ｝
A63H33/3083	｛印刷機械｝
A63H33/3088	｛繊維機械（織機玩具Ｄ０３Ｄ２９／００）｝
A63H33/3094	｛医師の診察機器｝
A63H33/32	砂で遊ぶための型，模型，すきまたは類似物
A63H33/36	火花玩具
A63H33/38	付加的玩具効果を有する絵本，例．飛び出したり滑動する表象を有するもの（絵本Ｂ４２Ｄ１／００）
A63H33/40	風車；空気の流れによって動かされるその他の玩具（人形玩具または乗物玩具のための駆動装置Ａ６３Ｈ２９／１６）
A63H33/42	他に分類されない模形玩具または背景玩具（一般的目的のための模形または背景Ｇ０９Ｂ）
A63H33/425	｛宇宙システム玩具，例．人工衛星，宇宙船｝
A63H37/00	ジョーク；色紙片，細長リボン，またはその他のダンス用記章；　｛クラッカーボンボンまたは類似のもの｝
A63H37/005	｛ポッパー玩具，すなわち歪曲後元の形に戻る時にぱちんと鳴り，ジャンプする円盤形玩具｝
A63H2200/00	コンピュータ化された双方向性の玩具，例．人形
