H01R13/465	｛識別手段，例．ラベル，タグ，標識（Ｈ０１Ｒ９／２４７５，Ｈ０１Ｒ９／２６８３が優先）｝
H01R13/50	一体に形成されたもの（Ｈ０１Ｒ１３／５１４が優先）
H01R13/501	｛一体的なヒンジまたは壊れやすい部分からなるもの｝
H01R13/502	異なる部片からなるもの（Ｈ０１Ｒ１３／５１４が優先）
H01R13/5025	｛１個以上の弾性材料の部片｝
H01R13/504	異なる部片が互いに，モールド，充填，溶接，例．超音波溶接，または成形加工されるもの
H01R13/5045	｛異なる部片がプレスフィットで組み立てられているもの｝
H01R13/506	部材のスナップ作用により組立てられるもの
H01R13/508	｛別体の｝クリップまたはばねにより組立てられるもの
H01R13/512	単一ねじまたは複数ねじにより組立てられるもの
H01R13/514	モジュラーブロックまたは組立体として形成されたもの，すなわち接触部材を備えた共働部品からなるものまたはそれらの間に接触部材を保持しているもの
H01R13/516	絶縁体を保持しまたは取り囲むための手段（例．ケーシング，｛フード｝）
H01R13/518	いくつかの接続部品を保持しまたは取り囲むためのもの（例．フレーム）
H01R13/52	防塵，防まつ，防滴，防水または防火のケース
H01R13/5202	｛ハウジングの部分同士間，またはハウジングと壁部間の密封手段，例．シールリング｝
H01R13/5205	｛ケーブルとハウジング間の密封手段，例．グロメット（Ｈ０１Ｒ１３／５２２１が優先）｝
H01R13/5208	｛少なくとも２つのケーブル受け開口部を有するもの｝
H01R13/521	｛接触部材とハウジング間を密封するもの，例．密封のための挿入｝
H01R13/5213	｛カバー｝
H01R13/5216	｛密封材，例．ゲルまたは樹脂に特徴があるもの｝
H01R13/5219	｛接続部品同士間の密封手段，例．境界面のシール｝
H01R13/5221	｛ケーブル密封手段を有するもの｝
H01R13/5224	｛医療用のもの｝
H01R13/5227	｛液体が貫通する排出部を備えたもの｝
H01R13/523	水中で使用するためのもの
H01R13/527	耐炎性ケース（Ｈ０１Ｒ１３／７０が優先）
H01R13/53	過酷な用途に対する基台またはケース；コロナまたはアークを防止する手段をもつ｛高電圧用の｝基台またはケース
