G06F3/023	10	Arrangements for converting discrete items of information into a coded form, e.g. arrangements for interpreting keyboard generated codes as alphanumeric codes, operand codes or instruction codes	G06F3/023	G06F3/023		3904
G06F3/0231	11	{Cordless keyboards}	G06F3/023	G06F3/023		1288
G06F3/0232	11	{Manual direct entries, e.g. key to main memory}	G06F3/023	G06F3/023		153
G06F3/0233	11	{Character input methods}	G06F3/023	G06F3/023		4786
G06F3/0234	12	{using switches operable in different directions}	G06F3/023	G06F3/023		477
G06F3/0235	12	{using chord techniques (G06F3/0234 takes precedence)}	G06F3/023	G06F3/023		572
G06F3/0236	12	{using selection techniques to select from displayed items}	G06F3/023	G06F3/023		2575
G06F3/0237	12	{using prediction or retrieval techniques}	G06F3/023	G06F3/023		3037
G06F3/0238	11	{Programmable keyboards (key guide holders G06F3/0224)}	G06F3/023	G06F3/023		2366
G06F3/027	11	for insertion of the decimal point	G06F3/027	G06F3/027		70
G06F3/03	9	Arrangements for converting the position or the displacement of a member into a coded form<br><br><u>NOTE</u><br><br> In this group, the first place priority rule is applied, i.e. at each hierarchical level, in the absence of an indication to the contrary, classification is made in the first appropriate place. 	G06F3/03	G06F3/03		1763
G06F3/0304	10	{Detection arrangements using opto-electronic means (constructional details of pointing devices not related to the detection arrangement using opto-electronic means G06F3/033; optical digitisers G06F3/042)}	G06F3/03	G06F3/03		6463
G06F3/0308	11	{comprising a plurality of distinctive and separately oriented light emitters or reflectors associated to the pointing device, e.g. remote cursor controller with distinct and separately oriented LEDs at the tip whose radiations are captured by a photo-detector associated to the screen}	G06F3/03	G06F3/03		401
G06F3/0312	11	{for tracking the rotation of a spherical or circular member, e.g. optical rotary encoders used in mice or trackballs using a tracking ball or in mouse scroll wheels (tracking relative movement in co-operation with a regularly or irregularly patterned surface, e.g. as in optical mice G06F3/0317; constructional details of scroll or thumb-wheels G06F3/0362; optical rotary encoders G01D5/3473)}	G06F3/03	G06F3/03		587
G06F3/0317	11	{in co-operation with a patterned surface, e.g. absolute position or relative movement detection for an optical mouse or pen positioned with respect to a coded surface}	G06F3/03	G06F3/03		1685
G06F3/0321	12	{by optically sensing the absolute position with respect to a regularly patterned surface forming a passive digitiser, e.g. pen optically detecting position indicative tags printed on a paper sheet (constructional details of pen-shaped pointing devices G06F3/03545, G06F3/03542, G06F3/037)}	G06F3/03	G06F3/03		880
