G07F17/3258	10	{Cumulative reward schemes, e.g. jackpots}	G07F17/32	G07F17/32		1832
G07F17/326	9	{Game play aspects of gaming systems}	G07F17/32	G07F17/32		1402
G07F17/3262	10	{Player actions which determine the course of the game, e.g. selecting a prize to be won, outcome to be achieved, game to be played}	G07F17/32	G07F17/32		1977
G07F17/3265	11	{Influencing the position of stopped moving members to achieve a winning arrangement, e.g. nudging, shuffling, holding}	G07F17/32	G07F17/32		477
G07F17/3267	10	{Game outcomes which determine the course of the subsequent game, e.g. double or quits, free games, higher payouts, different new games}	G07F17/32	G07F17/32		3201
G07F17/3269	10	{Timing aspects of game play, e.g. blocking/halting the operation of a gaming machine}	G07F17/32	G07F17/32		601
G07F17/3272	10	{Games involving multiple players}	G07F17/32	G07F17/32		766
G07F17/3274	11	{wherein the players cooperate, e.g. team-play}	G07F17/32	G07F17/32		220
G07F17/3276	11	{wherein the players compete, e.g. tournament}	G07F17/32	G07F17/32		1287
G07F17/3279	12	{wherein the competition is one-to-one, e.g. match}	G07F17/32	G07F17/32		136
G07F17/3281	11	{wherein game attributes are transferred between players, e.g. points, weapons, avatars}	G07F17/32	G07F17/32		217
G07F17/3283	11	{wherein the number of active machines is limited}	G07F17/32	G07F17/32		82
G07F17/3286	9	{Type of games}	G07F17/32	G07F17/32		573
G07F17/3288	10	{Betting, e.g. on live events, bookmaking}	G07F17/32	G07F17/32		2636
G07F17/329	10	{Regular and instant lottery, e.g. electronic scratch cards}	G07F17/32	G07F17/32		2174
G07F17/3293	10	{Card games, e.g. poker, canasta, black jack}	G07F17/32	G07F17/32		2558
G07F17/3295	10	{Games involving skill, e.g. dexterity, memory, thinking}	G07F17/32	G07F17/32		768
G07F17/3297	10	{Fairground games, e.g. Tivoli, coin pusher machines, cranes}	G07F17/32	G07F17/32		1179
G07F17/34	9	depending on the stopping of moving members {in a mechanical slot machine}, e.g. "fruit" machines	G07F17/34	G07F17/34		3991
G07F17/36	9	Age, character or fortune telling apparatus	G07F17/36	G07F17/36		56
G07F17/38	9	Ball games; Shooting apparatus	G07F17/38	G07F17/38		684
G07F17/40	8	for devices for accepting orders, advertisements, or the like	G07F17/40	G07F17/40		940
G07F17/42	8	for ticket printing or like apparatus {, e.g. apparatus for dispensing of printed paper tickets or payment cards}	G07F17/42	G07F17/42		2473
G07F19/00	7	Complete banking systems; Coded card-freed arrangements adapted for dispensing or receiving monies or the like and posting such transactions to existing accounts, e.g. automatic teller machines (data processing equipment for bank accounting G06Q40/02)	G07F19/00	G07F19/00		1258
G07F19/20	8	{Automatic teller machines [ATMs]}	G07F19/00	G07F19/20		4818
G07F19/201	9	{Accessories of ATMs}	G07F19/00	G07F19/201		2861
G07F19/202	9	{Depositing operations within ATMs (depositing in general G07D11/00)}	G07F19/00	G07F19/202		1336
G07F19/203	9	{Dispensing operations within ATMs (dispensing in general G07D11/00)}	G07F19/00	G07F19/203		1250
G07F19/204	9	{Loading of a stored value token using an ATM}	G07F19/00	G07F19/204		121
G07F19/205	9	{Housing aspects of ATMs}	G07F19/00	G07F19/205		1758
G07F19/2055	10	{Anti-skimming aspects at ATMs}	G07F19/00	G07F19/2055		508
G07F19/206	9	{Software aspects at ATMs}	G07F19/00	G07F19/206		1133
G07F19/207	9	{Surveillance aspects at ATMs}	G07F19/00	G07F19/207		1255
G07F19/208	9	{Use of an ATM as a switch or hub}	G07F19/00	G07F19/208		74
G07F19/209	9	{Monitoring, auditing or diagnose of functioning of ATMs}	G07F19/00	G07F19/209		1076
G07F19/21	9	{Retaining of the payment card by ATMs}	G07F19/00	G07F19/21		87
G07F19/211	9	{Software architecture within ATMs or in relation to the ATM network}	G07F19/00	G07F19/211		933
