F03G2007/007	8	{using heat pumps}<br><br><u>WARNING</u><br>Group F03G2007/007 is no longer used for the classification of documents as of 2021-08-01.<br>The content of this group is being reclassified into groups F03G7/047 and F03G6/092.<br>Groups F03G2007/007, F03G7/047 and F03G6/092 should be considered in order to perform a complete search.	F03G7/00	F03G7/00		20
F03G7/008	8	{characterised by the actuating element (actuating elements for mechanical power producing mechanism using expansion or contraction of bodies due to heating, cooling, moistening, drying or the like F03G7/061)}<br><br><u>WARNING</u><br>Group F03G7/008 is incomplete pending reclassification of documents from group F03G7/00.<br>Groups F03G7/00 and F03G7/008 should be considered in order to perform a complete search.	F03G7/00	F03G7/00		76
F03G7/009	9	{Actuators with elements stretchable when contacted with liquid rich in ions, with UV light or with a salt solution}<br><br><u>WARNING</u><br>Group F03G7/009 is incomplete pending reclassification of documents from groups F03G7/00 and F03G7/005.<br>Groups F03G7/00, F03G7/005 and F03G7/009 should be considered in order to perform a complete search.	F03G7/00	F03G7/00		28
F03G7/011	9	{Actuators having a material for absorbing or desorbing a gas, e.g. with a fuel cell reaction or a metal hydride}<br><br><u>WARNING</u><br>Group F03G7/011 is incomplete pending reclassification of documents from groups F03G7/00 and F03G7/005.<br>Groups F03G7/00, F03G7/005 and F03G7/011 should be considered in order to perform a complete search.	F03G7/00	F03G7/011		52
F03G7/012	9	{Electro-chemical actuators}<br><br><u>WARNING</u><br>Groups F03G7/012 and F03G7/0121 are incomplete pending reclassification of documents from groups F03G7/00 and F03G7/005.<br>All groups listed in this Warning should be considered in order to perform a complete search.	F03G7/00	F03G7/012		71
F03G7/0121	10	{Electroactive polymers}	F03G7/00	F03G7/0121		266
F03G7/015	9	{Actuators using the difference in osmotic pressure between fluids}<br><br><u>WARNING</u><br>Group F03G7/015 is incomplete pending reclassification of documents from groups F03G7/00 and F03G7/005.<br>Groups F03G7/00, F03G7/005 and F03G7/015 should be considered in order to perform a complete search.	F03G7/00	F03G7/015		163
F03G7/016	9	{Photosensitive actuators, e.g. using the principle of Crookes radiometer}<br><br><u>WARNING</u><br>Group F03G7/016 is incomplete pending reclassification of documents from groups F03G7/00 and F03G7/005.<br>Groups F03G7/00, F03G7/005 and F03G7/016 should be considered in order to perform a complete search.	F03G7/00	F03G7/016		63
F03G7/017	9	{Actuators comprising biological materials}<br><br><u>WARNING</u><br>Group F03G7/017 is incomplete pending reclassification of documents from groups F03G7/00 and F03G7/005.<br>Groups F03G7/00, F03G7/005 and F03G7/017 should be considered in order to perform a complete search.	F03G7/00	F03G7/017		7
F03G7/025	8	{characterised by its use}<br><br><u>WARNING</u><br>Groups F03G7/025, F03G7/0252 and F03G7/0254 are incomplete pending reclassification of documents from group F03G7/00.<br>All groups listed in this Warning should be considered in order to perform a complete search.	F03G7/00	F03G7/025		54
F03G7/0252	9	{Motors; Energy harvesting or waste energy recovery}	F03G7/00	F03G7/0252		133
F03G7/0254	9	{pumping or compressing fluids, e.g. microfluidic devices}	F03G7/00	F03G7/0254		83
F03G7/027	8	{Control or monitoring}<br><br><u>WARNING</u><br>Group F03G7/027 is incomplete pending reclassification of documents from group F03G7/00.<br>Groups F03G7/00 and F03G7/027 should be considered in order to perform a complete search.	F03G7/00	F03G7/027		77
F03G7/028	8	{Safety arrangements}<br><br><u>WARNING</u><br>Group F03G7/028 is incomplete pending reclassification of documents from group F03G7/00.<br>Groups F03G7/00 and F03G7/028 should be considered in order to perform a complete search.	F03G7/00	F03G7/028		2
F03G7/029	8	{characterised by the material or the manufacturing process, e.g. the assembly}<br><br><u>WARNING</u><br>Group F03G7/029 is incomplete pending reclassification of documents from group F03G7/00.<br>Groups F03G7/00 and F03G7/029 should be considered in order to perform a complete search.	F03G7/00	F03G7/029		166
F03G7/04	8	using pressure differences or thermal differences occurring in nature (F03G7/06 takes precedence)<br><br><u>WARNING</u><br>Group F03G7/04 is impacted by reclassification into groups F03G4/00, F03G4/001, F03G4/02, F03G4/023, F03G4/026, F03G4/029, F03G4/031, F03G4/033, F03G4/035, F03G4/037, F03G4/04, F03G4/045, F03G4/06, F03G4/063, F03G4/066, F03G4/069, F03G4/072, F03G4/074, F03G7/045 and F03G7/047.<br>All groups listed in this Warning should be considered in order to perform a complete search.	F03G7/04	F03G7/04		1406
F03G7/045	9	{Environmental heat plants or OTEC plants using an Organic Rankine Cycle [ORC] or a Kalina Cycle}<br><br><u>WARNING</u><br>Group F03G7/045 is incomplete pending reclassification of documents from group F03G7/04.<br>Groups F03G7/04 and F03G7/045 should be considered in order to perform a complete search.	F03G7/04	F03G7/04		40
F03G7/047	9	{Environmental heat plants or OTEC plants using heat pumps}<br><br><u>WARNING</u><br>Group F03G7/047 is incomplete pending reclassification of documents from groups F03G2007/007 and F03G7/04.<br>Groups F03G2007/007, F03G7/04 and F03G7/047 should be considered in order to perform a complete search.	F03G7/04	F03G7/04		36
F03G7/05	9	Ocean thermal energy conversion, i.e. OTEC	F03G7/05	F03G7/05		678
F03G7/06	8	using expansion or contraction of bodies due to heating, cooling, moistening, drying or the like (using thermal expansion of non-vaporising liquids F01K)<br><br><u>WARNING</u><br>Group F03G7/06 is impacted by reclassification into groups F03G7/061, F03G7/06112, F03G7/06113, F03G7/06114, F03G7/06115, F03G7/0612, F03G7/0613, F03G7/0614, F03G7/06143, F03G7/06145, F03G7/06146, F03G7/06147, F03G7/0615, F03G7/0616, F03G7/0618, F03G7/062, F03G7/063, F03G7/0631, F03G7/06324, F03G7/0633, F03G7/0634, F03G7/0635, F03G7/0636, F03G7/064, F03G7/0641, F03G7/0645, F03G7/0646, F03G7/066, F03G7/0665 and F03G7/067.<br>All groups listed in this Warning should be considered in order to perform a complete search.	F03G7/06	F03G7/06		905
F03G7/061	9	{characterised by the actuating element}<br><br><u>WARNING</u><br>Groups F03G7/061, F03G7/06112, F03G7/06113, F03G7/06114, F03G7/06115, F03G7/0612, F03G7/0613, F03G7/0616 and F03G7/0618 are incomplete pending reclassification of documents from group F03G7/06.<br>All groups listed in this Warning should be considered in order to perform a complete search.	F03G7/06	F03G7/06		101
F03G7/06112	10	{using the thermal expansion or contraction of enclosed fluids}	F03G7/06	F03G7/06		198
F03G7/06113	11	{the fluids subjected to phase change}	F03G7/06	F03G7/06		375
F03G7/06114	10	{using the thermal expansion or contraction of solid materials}	F03G7/06	F03G7/06		186
