H04Q2213/208	逆多重化；タイムスロットシーケンス統合（ＴＳＳＩ）態様
H04Q2213/21	インパルス伝送
H04Q2213/211	インパルス補正または再整形
H04Q2213/212	ディジットの吸収
H04Q2213/214	位相偏移インパルス；クロック信号；タイミング
H04Q2213/215	コードチェック
H04Q2213/216	コード信号；フレーミング（非同期）
H04Q2213/217	パルスによるスイッチの設定
H04Q2213/218	双安定リレー，例．フェリード
H04Q2213/22	ＰＢＸ
H04Q2213/222	公衆網交換機（セントレックス）におけるＰＢＸ回路
H04Q2213/23	共同回線
H04Q2213/24	会議回路
H04Q2213/242	放送およびマルチキャスト（１:Ｎ）
H04Q2213/243	コンキャスト，例．対多地点（Ｎ:１）
H04Q2213/246	即時話者アルゴリズム（ＩＳＡ）
H04Q2213/25	優先サービス
H04Q2213/251	制限サービス
H04Q2213/252	既接続上への割込み
H04Q2213/256	コールスクリーニング
H04Q2213/26	コールバック
H04Q2213/27	レリーズ
H04Q2213/271	強制レリーズ
H04Q2213/272	時期尚早レリーズ
H04Q2213/274	着信拒否
H04Q2213/28	通信中転送
