C07D213/36	単結合の窒素原子によって置換された基　（ニトロ基｛による｝Ｃ０７Ｄ２１３／２６），　｛すなわち，窒素原子がその基と単結合により結合されたもの　（同じ炭素原子に結合したもの　Ｃ０７Ｄ２１３／５３）｝
C07D213/38	置換基の窒素原子に結合する水素原子または炭化水素｛または置換炭化水素｝基のみを有するもの
C07D213/40	置換基の窒素原子がアシル化されたもの　｛カルボンキシル基または炭酸アシル基，その窒素または硫黄類似体によるもの｝
C07D213/42	置換基の窒素原子に結合する異種原子を有するもの　（ニトロ基｛による｝　Ｃ０７Ｄ２１３／２６）
C07D213/44	二重結合の酸素，硫黄または窒素原子によってまたは同一の炭素原子に単結合した２個のそのような原子によって置換されている基　｛すなわち，その基の同じ炭素原子に，これらの原子が二重結合により結合されるか，または２個のそのような原子が単結合により結合されるもの　｝
C07D213/46	酸素原子
C07D213/48	アルデヒド基
C07D213/50	ケトン基
C07D213/51	アセタール基　｛（環状アセタール　Ｃ０７Ｄ４０５／００）｝
C07D213/52	硫黄原子
C07D213/53	窒素原子
C07D213/54	異種原子に対する３個の結合をもち，そのうち多くても１個がハロゲンに対する結合である炭素原子，例．エステルまたはニトリル基，によって置換された基
C07D213/55	酸；エステル；　｛塩　（Ｃ０７Ｄ２１３／５４Ｂ(ＥＣＬＡ)　が優先）｝　
C07D213/56	アミド　｛（Ｃ０７Ｄ２１３／５４Ｂ(ＥＣＬＡ)が優先）｝　
C07D213/57	ニトリル　｛（Ｃ０７Ｄ２１３／５４Ｂ(ＥＣＬＡ)が優先）｝　
C07D213/58	アミジン　｛（Ｃ０７Ｄ２１３／５４Ｂ(ＥＣＬＡ)が優先）｝　
C07D213/59	少なくとも１個の結合が硫黄原子に対するもの　｛（Ｃ０７Ｄ２１３／５４Ｂ(ＥＣＬＡ)が優先）｝　
C07D213/60	異種原子，または異種原子に対する３個の結合をもち，そのうち多くても１個がハロゲンに対する結合である炭素原子，例．エステルまたはニトリル基，が環の炭素原子に直接結合したもの
C07D213/61	ハロゲン原子またはニトロ基
C07D213/62	酸素原子または硫黄原子
C07D213/63	１個の酸素原子　｛４位と５位の環炭素原子が　−ＣＨ２Ｙ基に結合しているときは，　Ｙは異種原子Ｃ０７Ｄ２１３／６６　〜　Ｃ０７Ｄ２１３／６７｝
C07D213/64	２位または６位に結合しているもの
C07D213/643	２―フェノキシピリジン；その誘導体
C07D213/647	分子中に飽和３員環を含有する１個のアシル基をもつもの，例．クリサンテミン酸エステル
C07D213/65	３位または５位に結合しているもの
C07D213/66	３位に酸素原子，４位および５位のそれぞれに｛ヘテロ原子，例．１個の｝酸素原子，硫黄原子または窒素原子に結合する炭素原子を有するもの，例．ピリドキサール
C07D213/67	２―メチル―３―ヒドロキシ―４，５―ビス（ヒドロキシメチル）ピリジン，すなわちピリドキシン　｛および誘導体　:　（画像）　　Ｒ−炭化水素，　および　Ｒ｀，　Ｒ，　Ｒ｀　基を有するもの　（リン酸エステル　Ｃ０７Ｆ９／００）｝
C07D213/68	４位に結合しているもの
C07D213/69	２個またはそれ以上の酸素原子
C07D213/70	硫黄原子
C07D213/71	第２番目の異種原子が結合しているもの
C07D213/72	窒素原子（ニトロ基Ｃ０７Ｄ２１３／６１）
C07D213/73	置換されていないアミノまたはイミノ基
C07D213/74	炭化水素基または置換された炭化水素基によって置換されているアミノ基またはイミノ基
C07D213/75	カルボン酸または炭酸によってまたはその硫黄または窒素類似体，例．カルバミン酸塩，によってアシル化されているアミノ基またはイミノ基
C07D213/76	第２番目の異種原子が結合しているもの（ニトロ基Ｃ０７Ｄ２１３／６１）
C07D213/77	ヒドラジン基　｛すなわち，窒素原子，例．　Ｐｙ−Ｎ−Ｎ｝
C07D213/78	異種原子に対する３個の結合をもち，そのうち多くても１個がハロゲンに対する結合である炭素原子，例．エステルまたはニトリル基
C07D213/79	酸；エステル　｛または塩，すなわち，　−Ｃ（＝Ｏ）−Ｏ　（Ｃ０７Ｄ２１３／７８Ａ(ＥＣＬＡ)，　Ｃ０７Ｄ２１３／７８Ｂ(ＥＣＬＡ)　が優先）｝　
C07D213/80	３位において　｛または　５位において｝
C07D213/803	製造方法
C07D213/807	ピリジンまたは縮合ピリジンの酸化によるもの
C07D213/81	アミド；イミド　｛すなわち．　Ｃ（＝Ｏ）Ｎ＜；　（Ｃ０７Ｄ２１３／７８Ａ(ＥＣＬＡ)，　Ｃ０７Ｄ２１３／７８Ｂ(ＥＣＬＡ)　が優先；　Ｎ−ヒドロキシアミド　Ｃ０７Ｄ２１３／７８Ｂ；　環状イミド　Ｃ０７Ｄ４０１／００　〜　Ｃ０７Ｄ４２１／００）｝
C07D213/82	３位において　｛または　５位において｝
C07D213/83	チオ―酸；チオ―エステル；チオ―アミド；チオ―イミド　｛例．　Ｃ（＝Ｓ）−Ｒ，Ｃ（＝Ｙ）−Ｓ　（Ｒ＝）ハロゲンまたは　Ｙ；　Ｙ:　酸素，窒素，硫黄　（Ｃ０７Ｄ２１３／７８Ａ(ＥＣＬＡ)，　Ｃ０７Ｄ２１３／７８Ｂ(ＥＣＬＡ)　が優先）｝　
C07D213/84	ニトリル　｛（Ｃ０７Ｄ２１３／７８Ａ(ＥＣＬＡ)，　Ｃ０７Ｄ２１３／７８Ｂ(ＥＣＬＡ)　が優先）｝　
C07D213/85	３位において　｛または　５位において｝
C07D213/86	ヒドラジド；そのチオまたはイミノ類似体　｛すなわち，これらの炭素原子は，さらに窒素原子に結合した窒素原子と少なくとも１個の結合を持つ:　【イメージ】　（Ｃ０７Ｄ２１３／７８Ａ(ＥＣＬＡ)　が優先；　　３　位で結合したものＣ０７Ｄ２１３／８７；　ニコチノイルヒドラゾン　Ｃ０７Ｄ２１３／８８）｝　
C07D213/87	３位において
C07D213/88	ニコチノイルヒドラゾン　｛（Ｃ０７Ｄ２１３／７８Ａ(ＥＣＬＡ)　が優先）｝　
C07D213/89	環の窒素原子に直接結合する異種原子を有するもの
C07D213/90	環原子相互間または環原子と非環原子間に４個以上の二重結合を有するもの
C07D215/00	キノリン環系または水素添加したキノリン環系を含有する複素環式化合物
C07D215/02	環の窒素原子に直接結合する水素原子または炭素原子のみをもつもの　｛または，２位および８ａ位で窒素原子から環炭素原子への単結合または二重結合のみを有するもの　｝
C07D215/04	環の炭素原子に直接結合する水素原子または水素原子および炭素原子のみを含有する基のみを有するもの
C07D215/06	環の窒素原子に結合する水素原子，炭化水素基または置換炭化水素基を有するもの
C07D215/08	アシル化された環窒素原子を有するもの　｛カルボキシル基または炭酸アシル基によるものｌ｝
C07D215/10	第四級化合物　｛例．不活性塩｝
C07D215/12	環炭素原子に結合した置換炭化水素基有するもの
C07D215/14	酸素原子によって置換された基　｛キノフタロン　Ｃ０９Ｂ２５／００｝
C07D215/16	異種原子，または異種原子に対する３個の結合をもち，そのうち多くても１個がハロゲンに対する結合である炭素原子，例．エステルまたはニトリル基，が環の炭素原子に直接結合したもの
C07D215/18	ハロゲン原子またはニトロ基
C07D215/20	酸素原子（キノフタロンＣ０９Ｂ２５／００）
C07D215/22	２位または４位に結合しているもの
C07D215/227	２位に１個の酸素原子のみが結合するもの
C07D215/233	４位に１個の酸素原子のみが結合するもの
C07D215/24	８位に結合しているもの
C07D215/26	アルコール；そのエーテル
C07D215/28	５位，６位または７位にハロゲン原子またはニトロ基を有するもの
C07D215/30	金属塩；キレート
C07D215/32	エステル
C07D215/34	カルバミン酸塩
C07D215/36	硫黄原子（Ｃ０７Ｄ２１５／２４が優先）
C07D215/38	窒素原子（ニトロ基Ｃ０７Ｄ２１５／１８）
C07D215/40	８位に結合しているもの
C07D215/42	４位に結合しているもの
C07D215/44	該窒素原子に結合するアリール基を有するもの
C07D215/46	該窒素原子に結合し，窒素原子によって置換された炭化水素基を有するもの　｛Ｃ０７Ｄ２１５／４４が優先｝
C07D215/48	異種原子に対する３個の結合をもち，そのうち多くても１個がハロゲンに対する結合である炭素原子　｛例．エステルまたはニトリル基｝
C07D215/50	４位に結合しているもの
C07D215/52	２位に結合するアリール基を有するもの
C07D215/54	３位に結合しているもの
C07D215/56	４位に酸素原子を有するもの
C07D215/58	環の窒素原子に直接結合する異種原子を有するもの
C07D215/60	Ｎ―オキシド，　｛すなわち，酸素原子｝
C07D217/00	イソキノリン環系または水素添加したイソキノリン環系を含有する複素環式化合物
