E21D21/0073	
E21D21/008	｛固定または引張り手段｝
E21D21/0086	｛座板｝
E21D21/0093	｛付属具｝
E21D21/02	張力指示手段をもつもの（張力指示のため特に設計したねじ継ぎ手Ｆ１６Ｂ３１／０２）
E21D23/00	走行式天盤支保，例．コンベアや採掘機またはそれらの案内を前進させるものとの組合せ[（Ｎ:天盤支保ユニットの搬送Ｅ２１Ｆ１３／００８；切羽面での採鉱コンベアの推進Ｅ２１Ｆ１３／０８）]
E21D23/0004	｛切羽面に沿うもの｝
E21D23/0008	｛一対の接合された柱体を備えるもの｝
E21D23/0013	｛フレームタイプの支保｝
E21D23/0017	｛パイルタイプの支保｝
E21D23/0021	｛二つの歩行要素を備えるもの｝
E21D23/0026	｛三つの歩行要素を備えるもの｝
E21D23/003	｛剛性杭で構成されるもの｝
E21D23/0034	｛基盤部材に接合された採鉱跡シールドを備えるもの｝
E21D23/0039	｛切羽面に平行な柱体または柱体列により支持されるもの｝
E21D23/0043	｛切羽面に平行な二列またはそれ以上の柱体列により支持されるもの｝
E21D23/0047	｛移動装置を有しないもの｝
E21D23/0052	｛前進式移動装置が接続されたもの｝
E21D23/0056	｛各自独立した前進式移動装置を有するもの｝
E21D23/006	｛不可欠な水圧駆動装置を備えるもの｝
E21D23/0065	｛駆動，または自動制御，例．電気水圧式，されるもの｝
E21D23/0069	｛前進式移動装置を有しないもの｝
E21D23/0073	｛前進式移動装置が接続されたもの｝
E21D23/0078	｛各自独立した前進式移動装置を有するもの｝
E21D23/0082	｛垂直または急勾配の鉱層向けに特に調整したもの｝
E21D23/0086	｛坑道内｝
E21D23/0091	｛切羽面との合流点｝
E21D23/0095	｛坑道掘進先頭部の仮支保｝
E21D23/03	作業空間または支持体内へのばら状物質の侵入を防ぎまたは妨げるための保護手段，例．シールド，を有するもの
E21D23/04	支保機構の構造的特徴，例．隣接枠または支柱群の間をつなぐリンク部材；傾斜床での横滑りを阻止するための装置（Ｅ２１Ｄ２３／１４が優先）
E21D23/0409	｛支保またはその構成部分のための位置合わせまたは誘導装置｝
E21D23/0418	｛支柱のための位置決め装置と安定手段｝
E21D23/0427	｛シールド操作装置；そのためのヒンジ｝
E21D23/0436	｛支保の基盤部材を傾斜させる手段｝
E21D23/0445	｛コンベヤーを支持する基盤部材の伸張｝
E21D23/0454	｛トレイリングプレート；採炭切羽または採鉱側壁用の打柱（特に充填材の充填に用いるものＥ２１Ｄ２３／０４８１）｝
E21D23/0463	｛チューブ，給電ケーブルその他の類似物のための懸架または移動手段｝
E21D23/0472	｛歩行者または運搬人用に特に適合された支保｝
E21D23/0481	｛充填材充填作業との組み合わせにおいて特に調整された支保（地中作業場での充填作業類Ｅ２１Ｆ１５／００）｝．．<br><br><u>｛注</u><br><br>．．グループＥ２１Ｄ２３／０４８１は未完成。他のグループＥ２１Ｄ２３／００をも参照｝
E21D23/049	｛支柱の頭部と脚部間，天蓋支保のカッペと基部間に用いる連結装置｝
E21D23/06	走行支保に特有なカッペまたは支柱頭部
E21D23/063	｛そのための引っ込み式片持ち梁｝
E21D23/066	｛そのための枢支片持ち梁｝
E21D23/08	前進機構（Ｅ２１Ｄ２３／１６が優先）
E21D23/081	｛天蓋支保の形成部材｝
E21D23/082	｛支保の構成要素にのみ作用するもの｝
E21D23/083	｛特に調整された固定受け面に作用するもの｝
E21D23/085	｛採掘機用コンベヤーまたはガイドに作用するもの｝
E21D23/086	｛そのための固定装置の細部構成｝
E21D23/087	｛鉱層壁に直接作用するもの｝
E21D23/088	｛車輪，ローラー，キャタピラ，ベルト，またはウォームねじによるもの｝
E21D23/10	支柱構造から分離した前進装置をもつもの
E21D23/12	制御，例．遠隔制御方式を用いるもの（Ｅ２１Ｄ２３／１６が優先）
E21D23/14	支柱が自動的に連鎖運動をするもの，例．一本が動くと他が続いて動くもの（｛採鉱機械の切羽面への前進Ｅ２１Ｃ２９／０２；コンベアの切羽面への前進Ｅ２１Ｄ２３／０８５｝）
E21D23/142	
E21D23/144	
E21D23/146	
E21D23/148	
E21D23/16	水圧または空気圧制御の特徴，例．回路，弁の配列または適応，据付けまたは撤収機構
E21D23/18	前進機構に関するもの
E21D23/20	連鎖運動をするもの，例．一本が動くと他が続いて動くもの
E21D23/22	カッペと結合したもの
E21D23/24	支柱構造から分離した前進装置をもつもの
E21D23/26	水圧または空気圧制御
