F42B14/00	砲身内への導入または封入，または砲身の潤滑もしくは清掃に特徴のある発射体または飛しょう体
F42B14/02	導帯；旋転帯（Ｆ４２Ｂ１４／０４が優先）
F42B14/04	飛しょう体の潤滑手段（摩擦減少用の被覆Ｆ４２Ｂ１２／８２）
F42B14/06	装弾筒をもつ減口径発射体；そのための装弾筒
F42B14/061	｛長幹フィン安定運動エネルギー発射体用装弾筒，すなわち発射体の中ほどに取付けられたマルチセグメントの装弾筒｝
F42B14/062	
F42B14/064	｛運動エネルギー発射体の後端を取り囲む装弾筒，すなわち閉じた円板状栓塞基部およびその基部から前方に延びる花弁状体をもつもの｝
F42B14/065	
F42B14/067	
F42B14/068	
F42B14/08	推進薬を充填した装弾筒；火工品の燃焼または推進ガスによる装弾筒の分離（発射体から装弾筒を分離するための砲身上の装置Ｆ４１Ａ２１／４６）
F42B15/00	噴進弾または飛しょう体，例．ロケット；誘導飛しょう体（Ｆ４２Ｂ１０／００，Ｆ４２Ｂ１２／００，Ｆ４２Ｂ１４／００が優先:演習または訓練用Ｆ４２Ｂ８／１２；ロケット魚雷Ｆ４２Ｂ１７／００；魚雷Ｆ４２Ｂ１９／００；宇宙飛行体Ｂ６４Ｇ；噴射推進装置Ｆ０２Ｋ）
F42B15/01	誘導又は制御用搭載装置　（｛舵取り装置Ｆ４２Ｂ１０／６０｝；航空渠行制御Ｂ６４Ｃ；機内に装備されるもの以外の誘導方式Ｆ４１Ｇ７／００，Ｆ４１Ｇ９／００；無線または他の波を用いる位置測定Ｇ０１Ｓ；飛行制御一般Ｇ０５Ｄ１／００；計算に関する事項Ｇ０６｝）
F42B15/04	有線用，例．地対地ロケットの誘導用
F42B15/08	計測器を携えるもの；　｛発射体内に高感度のカーゴを取り付けるための配置｝（気象学への適応Ｇ０１Ｗ１／０８）；　｛発射体内における音響に敏感なカーゴのための配置｝
F42B15/10	空中弾道のみをもつミサイル
F42B15/105	｛空中魚雷，例．推進力をもつまたはもたない発射体で支持するエアフォイルの表面を備えたもの｝
F42B15/12	大陸間弾道ミサイル（Ｆ４２Ｂ１５／０１が優先）
F42B15/20	弾道の初めが水面下のミサイル（水中運動に対する推進機構を増備するものＦ４２Ｂ１７／００）
F42B15/22	弾道の終末が水面下のミサイル（水中運動に対する推進機構を増備するものＦ４２Ｂ１７／００）
F42B15/34	過熱または放射線に対する保護，例．熱遮蔽；特別の冷却装置　｛（宇宙飛行体に嵌合または装着された熱防護Ｂ６４Ｇ１／５８）｝
F42B15/36	ロケット原動機と本体部分との相互連結手段；多段階連結器；分離手段
F42B15/38	ロケット部品分離用環状爆発性部材｛宇宙航行体またはその部品を結合または分離するためのシステムＢ６４Ｇ１／６４｝
F42B17/00	ロケット魚雷，すなわち空中および水中運動用各推進機構をもつ飛しょう体（Ｆ４２Ｂ１２／００が優先）
F42B19/00	魚雷，例．水上艦船または潜水艦により射出されるもの；自走機構をもつ機雷（Ｆ４２Ｂ１２／００が優先；射出の機構Ｆ４１Ｆ；無線または他の波を用いる位置測定Ｇ０１Ｓ；コースの自動制御Ｇ０５Ｄ１／００；発射指揮装置または計算装置Ｇ０６Ｇ）
