C03B23/0013	｛プレス成形によるもの（Ｃ０３Ｂ２１／０４，Ｃ０３Ｂ２３／０２，Ｃ０３Ｂ２３／０４，Ｃ０３Ｂ２３／１８，Ｃ０３Ｂ２３／２６が優先）｝
C03B23/002	｛縁部の再成形｝
C03B23/0026	｛重力によるもの，例．垂下（Ｃ０３Ｂ２３／０２，Ｃ０３Ｂ２３／０４，Ｃ０３Ｂ２３／１８が優先）｝
C03B23/0033	｛遠心力によるもの（Ｃ０３Ｂ２３／０２，Ｃ０３Ｂ２３／０４，Ｃ０３Ｂ２３／１８が優先）｝
C03B23/004	｛ロール成形によるもの（Ｃ０３Ｂ２３／０２，Ｃ０３Ｂ２３／０４，Ｃ０３Ｂ２３／１８が優先）｝
C03B23/0046	｛縁部の再成形｝
C03B23/0053	｛そのための手工具｝
C03B23/006	｛溶融によるもの，例．火炎封止のためのもの（Ｃ０３Ｂ９／４２，Ｃ０３Ｂ２１／０６，Ｃ０３Ｂ２３／０２，Ｃ０３Ｂ２３／０４，Ｃ０３Ｂ２３／１８，Ｃ０３Ｂ３３／０８が優先）｝
C03B23/0066	｛曲げによるもの（Ｃ０３Ｂ２３／０２，Ｃ０３Ｂ２３／０４，Ｃ０３Ｂ２３／１８が優先）｝
C03B23/0073	｛ブローによるもの（Ｃ０３Ｂ２３／０２，Ｃ０３Ｂ２３／０４，Ｃ０３Ｂ２３／１８が優先）｝
C03B23/008	｛バキュムブローイング｝
C03B23/0086	｛成形ガラス物品の再成形一般のために特に適合された加熱装置，例．バーナ（Ｃ０３Ｂ２３／０２，Ｃ０３Ｂ２３／０４，Ｃ０３Ｂ２３／１８が優先）｝
C03B23/0093	｛成形ガラス物品の再成形一般のために特に適合された工具および機械，例．チャック（Ｃ０３Ｂ２３／００８６，Ｃ０３Ｂ２３／０２，Ｃ０３Ｂ２３／０４，Ｃ０３Ｂ２３／１８が優先）｝
C03B23/02	板ガラスの再成形
C03B23/023	曲げによるもの
C03B23/0235	｛局所的なまたは追加的な加熱，冷却または断熱手段の適用を伴うもの｝
C03B23/025	自重によるもの
C03B23/0252	｛重力のみによるもの，例．垂下（Ｃ０３Ｂ２３／０３５が優先）｝
C03B23/0254	｛連続的方法，例．重力ロール曲げ｝
C03B23/0256	｛機械的な力，例．慣性，重量または局部的な力，を加えることにより促進される重力曲げ｝
C03B23/0258	｛局所的または追加的な加熱，冷却または断熱手段の適用を含む重力曲げ｝
C03B23/027	少くとも２ケ所以上の回転軸で上に屈曲するモールドセクションをもつモールドを用いるもの
C03B23/03	成形モールドの間でのプレスベンディングによるもの
C03B23/0302	｛対向する全面成形モールドの間でのもの｝
C03B23/0305	｛機械的な力，例．慣性，重量または局部的な力，を加えることにより促進されるプレス曲げ｝
C03B23/0307	｛局所的または追加的な加熱，冷却または断熱手段の適用を含むプレス曲げ｝
C03B23/031	垂直位置にある板ガラス（Ｃ０３Ｂ２３／０３３が優先）
C03B23/0315	｛そして下端で支持されるもの｝
