C22B60/00	原子番号８７またはそれ以上の金属，すなわち放射性金属の採取
C22B60/02	トリウム，ウラニウムまたは他のアクチニドの採取
C22B60/0204	ウランの採取
C22B60/0208	原鉱石またはスクラップの予備的処理一般
C22B60/0213	乾式法によるもの
C22B60/0217	湿式法によるもの
C22B60/0221	浸出によるもの
C22B60/0226	酸性溶液を用いるもの
C22B60/023	活性剤としてのハロゲン化イオン
C22B60/0234	活性剤としての硫化イオン
C22B60/0239	活性剤として硝酸を含むイオン
C22B60/0243	活性剤としてのりん酸化イオン
C22B60/0247	塩基性溶液を用いるもの
C22B60/0252	溶液，液体またはスラリーの処理または精製　（Ｃ２２Ｂ６０／０２２１　が優先）
C22B60/0256	生物剤を用いるもの，例．微生物または藻類
C22B60/026	有機溶媒に溶解しまたは溶解しない液ー液抽出
C22B60/0265	固体樹脂による抽出
C22B60/0269	活性炭含有吸着剤による抽出
C22B60/0273	チタン含有吸着剤による抽出，例．含水酸化チタンによるもの　（Ｃ２２Ｂ６０／０２６９が優先）
C22B60/0278	化学的方法によるもの　（Ｃ２２Ｂ６０／０２５６，　Ｃ２２Ｂ６０／０２６，または　Ｃ２２Ｂ６０／０２６５が優先）
C22B60/0282	りんイオンを含有する溶液，例．りん鉱石の浸出から得られた溶液の処理または湿式りん酸法からのウランの回収
C22B60/0286	ウランの精製，溶融，再溶融，仕上げ処理
C22B60/0291	トリウムの採取
C22B60/0295	プルトニウム以外の他のアクチニドの採取
C22B60/04	プルトニウムの採取
C22B61/00	このサブクラスの他のところに分類されない金属の採取（鉄Ｃ２１）
