B41M2205/10	画像層の画像形成後の転写；画像層全体の転写
B41M2205/12	その後の画像化のための材料の準備，例．コロナ処理，同時塗装，前処理
B41M2205/14	マスクの製造またはマスクの使用
B41M2205/16	修正方法または修正材料
B41M2205/18	消去；消去可能なマーキング；非永久的マーキング
B41M2205/20	化学薬品，例．潤滑油，に対する安定性
B41M2205/22	画像の階調の改良
B41M2205/24	ロイコ染料または媒染剤以外の画像受容層において反応する反応性化合物
B41M2205/26	位置決め手段を有する供与体または受容体
B41M2205/28	貯蔵安定性；改良された保存寿命
B41M2205/30	感熱供与体，例．感熱リボン
B41M2205/32	感熱受容体
B41M2205/34	層または材料の両面の処理，例．塗布
B41M2205/36	裏塗り層；裏面層
B41M2205/38	中間層；基材と画像層の間の層
B41M2205/40	被覆層；画像層によって基材から離間している層；保護層；画像化前に塗布された層（画像化後に塗布された保護層Ｂ４１Ｍ７／００）
B41M2205/42	多層の画像層
