C04B18/00	モルタル，コンクリート，または人造石のための充填材としての凝集物もしくは廃棄物または屑の使用（セメント製造のための廃棄物の使用Ｃ０４Ｂ７／２４）；モルタル，コンクリート，または人造石に対する塊成化物質もしくは廃棄物または屑の充填性を向上させるのに特に適合する処理<br><br><u>注</u><br><br>粒子状以外の明確な形状の充填剤は補強要素とみなされ，そのようなものはＥ０４Ｃ５／００に分類される。しかし，それらがその組成のみにより特徴付けられるときはＣ０４Ｂのみに分類される。
C04B18/02	塊成化物質，｛例．人工骨材｝
C04B18/021	｛鉱物性結合剤による塊状化，例．セメント｝
C04B18/022	｛有機結合剤による塊状化｝
C04B18/023	｛燃焼されたまたは溶融された材料（Ｃ０４Ｂ２０／０６が優先）｝
C04B18/025	｛シャモツト｝
C04B18/026	｛溶融された材料（Ｃ０４Ｂ１４／２２が優先）｝
C04B18/027	｛軽量材料（Ｃ０４Ｂ１４／１２　が優先）｝
C04B18/028	｛一時的に塊状化されたもの，例．他のモルタルまたはコンクリート成分と混合している間に分離する塊状化物｝
C04B18/04	廃棄物；屑｛（Ｃ０４Ｂ１４／４０５　が優先）｝
C04B18/0409	｛ボーキサイト，例．赤泥，の精製からの廃棄物｝
C04B18/0418	｛湿潤材料，例．スラリー｝
C04B18/0427	｛乾燥材料｝
C04B18/0436	｛浚渫された港または川の汚泥（他のスラリーまたは汚泥Ｃ０４Ｂ１８／０４１８）｝
C04B18/0445	｛合成石こう，例．りん石こう（煙の浄化からの石こうＣ０４Ｂ１８／０６４）｝
C04B18/0454	｛漂白土｝
C04B18/0463	｛危険廃棄物｝
C04B18/0472	｛重金属で汚染された廃棄物｝
C04B18/0475	
C04B18/0481	｛Ｃ０４Ｂ１８／００のほかの箇所に分類されない他の特定の産業廃棄物｝
C04B18/049	｛油井または他の井戸からの廃棄物，例．掘削泥水｝
C04B18/06	燃焼残留物，例．煙，煙霧または排ガスの浄化生成物
C04B18/061	｛流動床炉からの灰｝
C04B18/062	｛煙，蒸発気または排ガスの浄化生成物｝
C04B18/064	｛石こう｝
C04B18/065	｛石炭のガス化の残滓｝
C04B18/067	｛スラグ｝
C04B18/068	｛燃焼木材から｝
C04B18/08	煙道ダスト，　｛すなわち，フライアッシュ｝
C04B18/081	｛かっ炭または亜炭から｝
C04B18/082	｛セノスフェア｝
C04B18/084	｛粉末石炭と添加剤の混合物から得られたもの，煙道ダストの組成に影響を及ぼすために添加されるもの｝
C04B18/085	｛ペレット化｝
C04B18/087	｛液体燃料から，例．オイル｝
C04B18/088	｛大量のフライアッシュ組成物中の｝
C04B18/10	焼成された｛または熱分解された｝屑
C04B18/101	｛燃やされた籾殻または他の燃やされた植物材料｝
C04B18/103	｛燃やされたまたは熱分解されたスラツジ｝
C04B18/105	｛ガスの燃焼からの生成物または廃棄物焼却から集められた灰，例．廃棄物焼却のガス燃焼生成物の浄化から得られるスラッジ｝
C04B18/106	｛廃棄物焼却からのフライアッシュ｝
C04B18/108	｛溶融工程を含むもの｝
C04B18/12	採石場，鉱山または類似のものからのもの
C04B18/125	｛スレート残滓，例．炭鉱頁岩または油頁岩または油頁岩灰｝
C04B18/14	冶金学的工程からのもの（スラグの処理Ｃ０４Ｂ５／００；セメント製造のためのものＣ０４Ｂ７／１４）
C04B18/141	｛スラグ｝
