B05B1/00	弁，加熱手段等の補助装置を有するまたはこれらを有しないノズル，スプレーヘッドまたは他の排出口（Ｂ０５Ｂ３／００，Ｂ０５Ｂ５／００，Ｂ０５Ｂ７／００が優先；｛水または気体の噴流を有する浴槽のためのノズルＡ６１Ｈ３３／００，例．Ａ６１Ｈ３３／６０６３，Ａ６１Ｈ３３／６０２１，Ａ６１Ｈ３３／０２６またはＡ６１Ｈ３３／０２７；消火に特に適合したノズルＡ６２Ｃ３１／０２；高速研削性流体噴射を発生させるためのノズルＢ２４Ｃ５／０４｝；インクジェットプリンティング機構のためのノズルＢ４１Ｊ２／１３５；｛容器を充填するためのノズルＢ６５Ｂ３９／００｝；液体分配ノズル，例．車両サービスステーションにおけるもの，Ｂ６７Ｄ７／４２）<br><br><u>警告</u><br><br>グループＢ０５Ｂ１／００はグループＢ０５Ｂ１／００２への再分類の影響を受ける。<br>グループＢ０５Ｂ１／００およびＢ０５Ｂ１／００２はコンプリートサーチの完遂のために考慮されるべきである。
B05B5/025	放出装置，例．静電噴霧ガン
B05B5/0255	｛静電力のみによる噴霧および蒸着｝
B05B5/03	ガスの使用に特徴があるもの，｛例．静電的支援空気力式噴霧（Ｂ０５Ｂ５／０４，Ｂ０５Ｂ５／０４３，Ｂ０５Ｂ５／０４７が優先）｝
B05B5/032	｛粒子状材料を噴霧するためのもの｝
B05B5/035	ガスを使用しない噴霧に特徴があるもの，｛例．静電的支援空気不使用噴霧（Ｂ０５Ｂ５／０４，Ｂ０５Ｂ５／０４３，Ｂ０５Ｂ５／０４７が優先）｝
B05B5/04	旋回排出口または偏向要素を有することに特徴があるもの，｛すなわち，噴霧が遠心力にもよって行われるもの｝
B05B5/0403	｛回転部材に特徴のあるもの｝
B05B5/0407	｛噴霧エッジを有するもの，例．カップまたはベルの類似物｝
B05B5/0411	｛その周面で個別の流路を有するもの｝
B05B5/0415	｛駆動手段；そのための部品，例．タービン，シャフト，軸受｝
B05B5/0418	｛粒子状物質の噴霧のために設計されたもの｝
B05B5/0422	｛回転の速度を制御するための手段からなるもの｝
B05B5/0426	｛成形ガスを供給するための手段｝
B05B5/043	誘導荷電方式を用いるもの
B05B5/047	摩擦荷電方式を用いるもの
B05B5/053	動力，例．荷電用電力，の供給装置
B05B5/0531	｛動力発生機｝
B05B5/0532	｛ガスタービンにより駆動されるもの｝
B05B5/0533	｛そのために特に適合された電極；電極装置｝
B05B5/0535	｛放出装置において保持される異なる電位をもつ少なくとも２つの電極，それらの一つは噴霧内またはそれに近接して位置するコロナ型の放出電極であり，他のものは材料の通路の外側に位置する非コロナ型のものであるもの｝
B05B5/0536	｛電極の次元的特徴，例．針状コロナ電極の径または曲率｝
