E04G21/00	7	Preparing, conveying, or working-up building materials or building elements in situ; Other devices or measures for constructional work (conveying in general B65G; lifting devices B66; working stone-like materials B28D; measuring instruments G01)	E04G21/00	E04G21/00		7855
E04G21/005	8	{Mortar boards}	E04G21/00	E04G21/00		56
E04G21/02	8	Conveying or working-up concrete or similar masses able to be heaped or cast (in connection with finishing work E04F; construction and surfacing of floorings made of similar material to roads or pavements E01C; in connection with barrages E02B7/00; in connection with foundations E02D15/00; composition of concrete C04B; working concrete in general, e.g. mixing machines B28C)	E04G21/02	E04G21/02		4839
E04G21/025	9	{Buckets specially adapted for use with concrete}	E04G21/02	E04G21/02		617
E04G21/04	9	Devices for both conveying and distributing (concrete pumps F04)	E04G21/04	E04G21/04		2456
E04G21/0409	10	{with conveyor belts (truck mixer with conveyor belts B28C5/4255)}	E04G21/04	E04G21/04		121
E04G21/0418	10	{with distribution hose}	E04G21/04	E04G21/04		453
E04G21/0427	11	{on a static support, e.g. crane}	E04G21/04	E04G21/04		358
E04G21/0436	11	{on a mobile support, e.g. truck}	E04G21/04	E04G21/04		1189
E04G21/0445	11	{with booms}	E04G21/04	E04G21/04		587
E04G21/0454	12	{with boom vibration damper mechanisms}	E04G21/04	E04G21/04		134
E04G21/0463	12	{with boom control mechanisms, e.g. to automate concrete distribution}	E04G21/04	E04G21/04		545
E04G21/0472	11	{Details of connection of the hose to the formwork, e.g. inlets}	E04G21/04	E04G21/04		275
E04G21/0481	10	{Concrete chutes}	E04G21/04	E04G21/04		187
E04G2021/049	10	{concrete mixing nozzles specially adapted for conveying devices}	E04G21/04	E04G21/04		325
