F16F9/096	10	comprising a hydropneumatic accumulator of the membrane type provided on the upper or the lower end of a damper or separately from or laterally on the damper {(F16F9/088 takes precedence)}	F16F9/096	F16F9/096		295
F16F9/10	8	using liquid only; using a fluid of which the nature is immaterial	F16F9/10	F16F9/10		749
F16F9/103	9	{Devices with one or more members moving linearly to and fro in chambers, any throttling effect being immaterial, i.e. damping by viscous shear effect only (F16F9/53 takes precedence)}	F16F9/10	F16F9/10		164
F16F9/106	9	{Squeeze-tube devices}	F16F9/10	F16F9/10		48
F16F9/12	9	Devices with one or more rotary vanes turning in the fluid any throttling effect being immaterial, {i.e. damping by viscous shear effect only (F16F9/53 takes precedence; pivoting supports for apparatus or articles placed on stands or trestles F16M11/06)}	F16F9/12	F16F9/12		597
F16F9/125	10	{characterised by adjustment means}	F16F9/12	F16F9/12		66
F16F9/14	9	Devices with one or more members, e.g. pistons, vanes, moving to and fro in chambers and using throttling effect	F16F9/14	F16F9/14		327
F16F9/145	10	{involving only rotary movement of the effective parts (wing closers or openers with fluid brakes of the rotary type E05F3/14)}	F16F9/14	F16F9/14		989
F16F9/16	10	involving only straight-line movement of the effective parts {(wing closers or openers with liquid piston brakes E05F3/04)}	F16F9/16	F16F9/16		505
F16F9/165	11	{with two or more cylinders in line, i.e. in series connection (F16F9/26 takes precedence)}	F16F9/16	F16F9/16		44
F16F9/18	11	with a closed cylinder and a piston separating two or more working spaces therein	F16F9/18	F16F9/18		659
F16F9/182	12	{comprising a hollow piston rod}	F16F9/18	F16F9/18		151
F16F9/185	12	{Bitubular units (where compression of gas leads to a clear spring action F16F9/062)}	F16F9/18	F16F9/18		821
F16F9/187	13	{with uni-directional flow of damping fluid through the valves}	F16F9/18	F16F9/18		98
F16F9/19	12	with a single cylinder {and of single-tube type}	F16F9/19	F16F9/19		1441
F16F9/20	12	with the piston-rod extending through both ends of the cylinder {, e.g. constant-volume dampers}	F16F9/20	F16F9/20		434
F16F9/22	11	with one or more cylinders each having a single working space closed by a piston or plunger	F16F9/22	F16F9/22		461
F16F9/26	12	with two cylinders in line and with the two pistons or plungers connected together	F16F9/26	F16F9/26		377
F16F9/28	12	with two parallel cylinders and with the two pistons or plungers connected together	F16F9/28	F16F9/28		155
F16F9/285	13	{by a rocker arm}	F16F9/28	F16F9/28		6
F16F9/30	8	with solid or semi-solid material, e.g. pasty masses, as damping medium {(in devices where rotary elements are damped by viscous shear effect only, any throttling effect being immaterial F16F9/12; where members moving with a rotating system are being damped F16F15/16)}	F16F9/30	F16F9/30		538
F16F9/303	9	{the damper being of the telescopic type}	F16F9/30	F16F9/30		250
F16F9/306	9	{of the constrained layer type, i.e. comprising one or more constrained viscoelastic layers}	F16F9/30	F16F9/30		416
F16F9/32	8	Details	F16F9/32	F16F9/32		1393
F16F9/3207	9	{Constructional features (F16F9/34&#160;-&#160;F16F9/50 take precedence; assembly or repair F16F9/3271)}	F16F9/32	F16F9/32		2584
F16F9/3214	10	{of pistons (F16F9/0227 and F16F9/36 take precedence; throttling passages in or on piston body F16F9/3405)}	F16F9/32	F16F9/32		1716
F16F9/3221	10	{of piston rods}	F16F9/32	F16F9/32		869
F16F9/3228	10	{of connections between pistons and piston rods}	F16F9/32	F16F9/32		333
F16F9/3235	10	{of cylinders (F16F9/483 takes precedence)}	F16F9/32	F16F9/32		1188
F16F9/3242	11	{of cylinder ends, e.g. caps}	F16F9/32	F16F9/32		833
F16F9/325	11	{for attachment of valve units}	F16F9/32	F16F9/32		323
F16F9/3257	11	{in twin-tube type devices}	F16F9/32	F16F9/32		287
F16F9/3264	9	{Arrangements for indicating, e.g. fluid level; Arrangements for checking dampers (F16F9/3292 takes precedence; testing of vehicle damping G01M17/04)}	F16F9/32	F16F9/32		250
F16F9/3271	9	{Assembly or repair}	F16F9/32	F16F9/32		567
F16F9/3278	9	{for lubrication (lubricating per seF16N)}	F16F9/32	F16F9/32		212
F16F9/3285	9	{for filtering (filters per seB01D)}	F16F9/32	F16F9/32		81
F16F9/3292	9	{Sensor arrangements}	F16F9/32	F16F9/32		600
F16F9/34	9	Special valve constructions ({F16F9/44, F16F9/50 take precedence; filtering details F16F9/3285} ; valves in general F16K); Shape or construction of throttling passages	F16F9/34	F16F9/34		3179
