E21D15/51	9	specially adapted to hydraulic, pneumatic, or hydraulic-pneumatic props, e.g. arrangements of relief valves {(not used, see subgroups and E21D15/44)}	E21D15/51	E21D15/51		50
E21D15/512	10	{Arrangement of valves (external control of roof support installations E21D23/12, E21D23/26)}	E21D15/51	E21D15/51		466
E21D15/515	10	{Particular fluids not covered by any chemical subdivision}	E21D15/51	E21D15/51		35
E21D15/517	10	{Extension elements}	E21D15/51	E21D15/51		104
E21D15/52	9	Extensible units located above or below standard props (for allowing step-by-step movement of cap E21D23/06; setting props or chocks E21D15/58)	E21D15/52	E21D15/52		102
E21D15/523	10	{with hydraulic or pneumatic control}	E21D15/52	E21D15/52		46
E21D15/526	10	{for step-by-step extension of the prop}	E21D15/52	E21D15/52		49
E21D15/54	9	Details of the ends of props (for permitting step-by-step movement E21D23/06)	E21D15/54	E21D15/54		389
E21D15/545	10	{hydraulic or pneumatic}	E21D15/54	E21D15/54		48
E21D15/55	10	of prop heads {or feet}	E21D15/55	E21D15/55		475
E21D15/56	9	Details of locks of telescopic props	E21D15/56	E21D15/56		92
E21D15/563	10	{by which a series of similarly shaped props can obtain an almost equal load-capacity (setting props or chocks E21D15/584, E21D15/589)}	E21D15/56	E21D15/56		10
E21D15/566	10	{comprising a fluid cushion}	E21D15/56	E21D15/56		5
E21D15/58	8	Devices for setting props or chocks	E21D15/58	E21D15/58		164
E21D15/581	9	{in which the props are pre- loaded (extensible elements at strut extremities E21D15/52)}	E21D15/58	E21D15/58		205
E21D15/5813	10	{by means of power accumulators to be pre-charged by rock pressure (by means of hydraulically operated devices E21D15/587)}	E21D15/58	E21D15/58		10
E21D15/5817	10	{in which the lock is also activated}	E21D15/58	E21D15/58		33
E21D15/584	9	{in which a series of similarly shaped props obtain an almost equal load capacity by removable devices (idem for extensible props E21D15/563)}	E21D15/58	E21D15/58		20
E21D15/585	9	{by means of hydraulically operated devices for mechanical props, or hydraulic props in which the hydraulic part is not important (hydraulic props in which the hydraulic part is important E21D15/44)}	E21D15/58	E21D15/58		65
E21D15/586	10	{the props being pre-loaded}	E21D15/58	E21D15/58		152
E21D15/587	11	{by means of power accumulators to be pre-charged by rock pressure}	E21D15/58	E21D15/58		32
E21D15/588	11	{the lock also being activated}	E21D15/58	E21D15/58		39
E21D15/589	10	{in which a series of similarly shaped props are given almost equal load capacity by removable devices}	E21D15/58	E21D15/58		24
E21D15/60	8	Devices for withdrawing props or chocks	E21D15/60	E21D15/60		398
E21D15/603	9	{by means of hydraulic devices}	E21D15/60	E21D15/60		63
E21D15/606	9	{the props being moved systematically (mine roof supports for step-by-step movement E21D23/00)}	E21D15/60	E21D15/60		62
E21D17/00	7	Caps for supporting mine roofs	E21D17/00	E21D17/00		307
E21D17/003	8	{with essential hydraulic elements}	E21D17/00	E21D17/00		24
E21D17/006	8	{characterised by the material}	E21D17/00	E21D17/00		47
E21D17/01	8	characterised by the shape of the cap, e.g. of specified cross-section	E21D17/01	E21D17/01		290
E21D17/02	8	Cantilever extension or similar protecting devices	E21D17/02	E21D17/02		55
E21D17/0206	9	{Hydraulically operated extension devices}	E21D17/02	E21D17/02		103
E21D17/0213	9	{Assembling devices for pivoting caps upwardly}	E21D17/02	E21D17/02		73
E21D17/03	9	Brackets for roof-supporting bars	E21D17/03	E21D17/03		96
E21D17/04	9	for use in longwall working	E21D17/04	E21D17/04		51
E21D17/06	9	for use in drifting galleries	E21D17/06	E21D17/06		43
E21D17/08	9	Cap joints for obtaining a coal-face free of pit-props	E21D17/08	E21D17/08		25
E21D17/082	10	of sliding type	E21D17/082	E21D17/082		103
E21D17/086	10	or articulated type	E21D17/086	E21D17/086		432
E21D17/10	8	Details of mine caps for engaging the tops of pit-props, with or without retaining-plates; Retaining-plates	E21D17/10	E21D17/10		258
E21D19/00	7	Provisional protective covers for working space (E21D9/06, E21D23/00 take precedence)	E21D19/00	E21D19/00		628
E21D19/02	8	for use in longwall working	E21D19/02	E21D19/02		256
E21D19/04	8	for use in drifting galleries	E21D19/04	E21D19/04		464
E21D20/00	7	Setting anchoring-bolts (anchoring bolts for shafts, tunnels or galleries E21D21/00; means for anchoring structural elements or bulkheads specially adapted to foundation engineering E02D5/74; dowels or other devices fastened in walls or the like by inserting them in holes made therein for that purpose F16B13/00)	E21D20/00	E21D20/00		2751
E21D20/003	8	{Machines for drilling anchor holes and setting anchor bolts}	E21D20/00	E21D20/00		2822
E21D20/006	9	{having magazines for storing and feeding anchoring-bolts (combined feeding from racks and connecting of drill rods or the like E21B19/20)}	E21D20/00	E21D20/00		228
E21D20/02	8	with provisions for grouting	E21D20/02	E21D20/02		1980
E21D20/021	9	{Grouting with inorganic components, e.g. cement}	E21D20/02	E21D20/02		891
E21D20/023	10	{Cartridges; Grouting charges}	E21D20/02	E21D20/02		81
E21D20/025	9	{Grouting with organic components, e.g. resin}	E21D20/02	E21D20/02		675
E21D20/026	10	{Cartridges; Grouting charges}	E21D20/02	E21D20/02		262
E21D20/028	9	{Devices or accesories for injecting a grouting liquid in a bore-hole (E21D20/003 takes precedence; improving soil or rock by injections E21D9/001)}	E21D20/02	E21D20/02		848
E21D21/00	7	Anchoring-bolts for roof, floor {in galleries or longwall working}, or shaft-lining protection ({ground anchors E02D5/80; anchorings for building constructions E04B1/41, E21D21/00}; dowels or other devices fastened in walls or the like by inserting them in holes made therein for that purpose F16B13/00{; bolts with visible load G01L1/00})	E21D21/00	E21D21/00		960
E21D21/0006	8	{characterised by the bolt material}	E21D21/00	E21D21/00		402
E21D21/0013	8	{Protection against corrosion}	E21D21/00	E21D21/00		116
E21D21/002	8	{using explosives charges}	E21D21/00	E21D21/00		33
E21D21/0026	8	{characterised by constructional features of the bolts}	E21D21/00	E21D21/00		2623
E21D21/0033	9	{having a jacket or outer tube}	E21D21/00	E21D21/00		583
E21D21/004	9	{Bolts held in the borehole by friction all along their length, without additional fixing means}	E21D21/00	E21D21/00		239
E21D21/0046	9	{formed by a plurality of elements arranged longitudinally}	E21D21/00	E21D21/00		333
E21D21/0053	9	{Anchoring-bolts in the form of lost drilling rods}	E21D21/00	E21D21/00		236
E21D21/006	9	{Anchoring-bolts made of cables or wires}	E21D21/00	E21D21/00		417
E21D21/0066	9	{Anchoring-bolts formed by a bundle of radially arranged rigid elements}	E21D21/00	E21D21/00		54
E21D21/0073	9	{Anchoring-bolts having an inflatable sleeve, e.g. hollow sleeve expanded by a fluid}	E21D21/00	E21D21/00		194
E21D21/008	8	{Anchoring or tensioning means}	E21D21/00	E21D21/00		1754
E21D21/0086	8	{Bearing plates}	E21D21/00	E21D21/00		473
E21D21/0093	8	{Accessories}	E21D21/00	E21D21/00		1299
