F16K11/20	9	operated by separate actuating members (with one plug turning in another F16K11/12)	F16K11/20	F16K11/20		1078
F16K11/202	10	{with concentric handles}	F16K11/20	F16K11/20		350
F16K11/205	10	{with two handles at right angles to each other}	F16K11/20	F16K11/20		96
F16K11/207	10	{with two handles or actuating mechanisms at opposite sides of the housing}	F16K11/20	F16K11/20		312
F16K11/22	10	with an actuating member for each valve, e.g. interconnected to form multiple-way valves	F16K11/22	F16K11/22		2427
F16K11/24	10	with an electromagnetically-operated valve, e.g. for washing machines	F16K11/24	F16K11/24		639
F16K13/00	7	Other constructional types of cut-off apparatus (means for plugging pipes or hoses F16L55/10); Arrangements for cutting-off	F16K13/00	F16K13/00		484
F16K13/02	8	with both sealing faces shaped as small segments of a cylinder and the moving member pivotally mounted	F16K13/02	F16K13/02		177
F16K13/04	8	{with a breakable closure member}	F16K17/40	F16K13/04		342
F16K13/06	9	{constructed to be ruptured by an explosion}	F16K17/40	F16K13/06		291
F16K13/08	8	Arrangements for cutting-off {not used}	F16K13/08	F16K13/08		24
F16K13/10	9	by means of liquid or granular medium	F16K13/10	F16K13/10		563
F16K15/00	7	Check valves (valves specially adapted for inflatable balls A63B41/00)<br><br><u>WARNING</u><br>Groups F16K15/00, F16K15/20, F16K15/202 and F16K15/205 are incomplete pending reclassification of documents from group F16K15/03.<br>All groups listed in this Warning should be considered in order to perform a complete search.	F16K15/00	F16K15/00		1130
F16K15/02	8	with guided rigid valve members<br><br><u>WARNING</u><br>Groups F16K15/02, F16K15/021, F16K15/023, F16K15/04 and F16K15/048 are incomplete pending reclassification of documents from group F16K15/03.<br>All groups listed in this Warning should be considered in order to perform a complete search.	F16K15/02	F16K15/02		1365
F16K15/021	9	{the valve member being a movable body around which the medium flows when the valve is open (F16K15/025&#160;-&#160;F16K15/12 take precedence)}	F16K15/02	F16K15/02		409
F16K15/023	10	{the valve member consisting only of a predominantly disc-shaped flat element}	F16K15/02	F16K15/02		298
F16K15/025	9	{the valve being loaded by a spring (F16K15/03 - F16K15/12 take precedence)}<br><br><u>WARNING</u><br>Group F16K15/025 is incomplete pending reclassification of documents from group F16K15/03.<br>All groups listed in this Warning should be considered in order to perform a complete search.	F16K15/02	F16K15/02		1646
F16K15/026	10	{the valve member being a movable body around which the medium flows when the valve is open}<br><br><u>WARNING</u><br>Groups F16K15/026 and F16K15/028 are incomplete pending reclassification of documents from group F16K15/03.<br>All groups listed in this Warning should be considered in order to perform a complete search.	F16K15/02	F16K15/02		1290
F16K15/028	11	{the valve member consisting only of a predominantly disc-shaped flat element}	F16K15/02	F16K15/02		445
F16K15/03	9	with a hinged closure member {or with a pivoted closure member}<br><br><u>WARNING</u><br>Group F16K15/03 is impacted by reclassification into groups F16K15/031 - F16K15/207 and F16K17/00 - F16K17/42.<br>All groups listed in this Warning should be considered in order to perform a complete search.	F16K15/03	F16K15/03		2295
F16K15/031	10	{the hinge being flexible}<br><br><u>WARNING</u><br>Group F16K15/031 is incomplete pending reclassification of documents from groups F16K15/03, F16K15/035, F16K15/036 and F16K15/038.<br>Group F16K15/031 is also impacted by reclassification into group F16K15/034.<br>All groups listed in this Warning should be considered in order to perform a complete search.	F16K15/03	F16K15/03		251
