G08B21/0283	11	{via a telephone network, e.g. cellular GSM}	G08B21/02	G08B21/02		507
G08B21/0286	10	{Tampering or removal detection of the child unit from child or article}	G08B21/02	G08B21/02		419
G08B21/0288	10	{Attachment of child unit to child/article}	G08B21/02	G08B21/02		822
G08B21/0291	10	{Housing and user interface of child unit}	G08B21/02	G08B21/02		158
G08B21/0294	10	{Display details on parent unit}	G08B21/02	G08B21/02		305
G08B21/0297	9	{Robbery alarms, e.g. hold-up alarms, bag snatching alarms}	G08B21/02	G08B21/02		494
G08B21/04	9	responsive to non-activity, e.g. of elderly persons (G08B21/06 takes precedence)	G08B21/04	G08B21/04		857
G08B21/0407	10	{based on behaviour analysis}	G08B21/04	G08B21/04		423
G08B21/0415	11	{detecting absence of activity per se}	G08B21/04	G08B21/04		481
G08B21/0423	11	{detecting deviation from an expected pattern of behaviour or schedule}	G08B21/04	G08B21/04		753
G08B21/043	11	{detecting an emergency event, e.g. a fall}	G08B21/04	G08B21/04		2272
G08B21/0438	10	{Sensor means for detecting}	G08B21/04	G08B21/04		493
G08B21/0446	11	{worn on the body to detect changes of posture, e.g. a fall, inclination, acceleration, gait}	G08B21/04	G08B21/04		1984
G08B21/0453	11	{worn on the body to detect health condition by physiological monitoring, e.g. electrocardiogram, temperature, breathing (detecting, measuring or recording for diagnostic purposes A61B5/00)}	G08B21/04	G08B21/04		1939
G08B21/0461	11	{integrated or attached to an item closely associated with the person but not worn by the person, e.g. chair, walking stick, bed sensor}	G08B21/04	G08B21/04		918
G08B21/0469	11	{Presence detectors to detect unsafe condition, e.g. infrared sensor, microphone (G08B21/0476 takes precedence)}	G08B21/04	G08B21/04		828
G08B21/0476	11	{Cameras to detect unsafe condition, e.g. video cameras}	G08B21/04	G08B21/04		1130
